business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,permanently_closed
OPERATIONAL,"{'location': {'lat': -5.6524868, 'lng': 106.5764176}, 'viewport': {'northeast': {'lat': -5.651133670107279, 'lng': 106.5777683798927}, 'southwest': {'lat': -5.653833329892723, 'lng': 106.5750687201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Harapan Solata Homestay,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104315370841114985195"">Josia Irwan Rastandi</a>'], 'photo_reference': 'AZose0kC1f2EmK9zizdYKC3lERM-Lf9i3uTlHSZhlUAAMKD786Mjcd465QVBaixFB84y8FPYqwWUu-RIcBdzqST-C39ifHU47Gq_QBdgTVuQtIbzxwVhpl5VP4XhK4pBcfqmUAB1uLkhJJb-OZOGSUoeebnl28acLw5jHwP8zELveFYAqYLT', 'width': 4000}]",ChIJi1mQ1Ct4ai4Rr0Wm79HNwx0,"{'compound_code': '8HXG+2H Kelapa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P688HXG+2H'}",4.2,ChIJi1mQ1Ct4ai4Rr0Wm79HNwx0,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",31,"Pulau Harapan, RT 02 / RW 01, Kepulauan Seribu Utara, Pulau Klp., Administrasi Kepulauan Seribu",,
OPERATIONAL,"{'location': {'lat': -5.653758600000001, 'lng': 106.5713342}, 'viewport': {'northeast': {'lat': -5.652387020107279, 'lng': 106.5727469798927}, 'southwest': {'lat': -5.655086679892722, 'lng': 106.5700473201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Royal Island Resort,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107754397974638187360"">A Google User</a>'], 'photo_reference': 'AZose0nM8gez1MKBALegPXXJLwO08d4X-7VX8GiexwPY_JJd3dXpNXNMxQx_rZwxnMINqG6Hp4IOwKRWhe0DAxJe1-bAC2PIQ2HB1MBKlyhk1FYU83Yu0LLVa31AKv0mrmgWbrpVDv62aot9a3owk_zWftPObH32BU9M4xfgWEK0Hofesxmq', 'width': 4608}]",ChIJSz3tijF3ai4RGnQtpcoz_P8,,4.4,ChIJSz3tijF3ai4RGnQtpcoz_P8,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",27,"8HWC+FGW, Kelapa Island, Kepulauan Seribu Regency",,
OPERATIONAL,"{'location': {'lat': -5.6535748, 'lng': 106.5777928}, 'viewport': {'northeast': {'lat': -5.652225470107277, 'lng': 106.5791703798927}, 'southwest': {'lat': -5.654925129892721, 'lng': 106.5764707201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Rangga,,ChIJzTZE-Yt5ai4RHh8GLJsCJu8,"{'compound_code': '8HWH+H4 Kelapa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P688HWH+H4'}",0.0,ChIJzTZE-Yt5ai4RHh8GLJsCJu8,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",0,"Pulau Harapan No.RT.006, Kelapa Island, Kepulauan Seribu Regency",,
OPERATIONAL,"{'location': {'lat': -5.977560299999999, 'lng': 106.7051799}, 'viewport': {'northeast': {'lat': -5.976224120107277, 'lng': 106.7065559298927}, 'southwest': {'lat': -5.978923779892721, 'lng': 106.7038562701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Marlin Syariah at Desa Wisata Pulau Untung Jawa,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104337194990361371393"">A Google User</a>'], 'photo_reference': 'AZose0lZc6oOkY0kDlzxP0X4mXwOxZubkMkBOtl5NWdtLH4u63ZamQm2Kwz41BGdeOOd3YbDSVvvzK2oldYBbQT84sUClMHAJxOKcefi6yFAnzthWwwrvlfCZ-22GYpq-e6scZ1xix1tCYo5vfq7IGk6qfxBi0h-Dclf3imtPKZ_N9m7Y6sw', 'width': 1600}]",ChIJ9fNyPjcFai4RsGateyqSRKw,"{'compound_code': '2PC4+X3 Untungjawa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P682PC4+X3'}",4.6,ChIJ9fNyPjcFai4RsGateyqSRKw,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",14,"Untungjawa Island, Kepulauan Seribu Regency",,
OPERATIONAL,"{'location': {'lat': -5.9775015, 'lng': 106.7072474}, 'viewport': {'northeast': {'lat': -5.976153120107279, 'lng': 106.7085999298927}, 'southwest': {'lat': -5.978852779892723, 'lng': 106.7059002701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kaci - Kaci Homestay Syariah at Desa Wisata Pulau Untung Jawa,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111370310273606916600"">alimil bachri</a>'], 'photo_reference': 'AZose0nUKF_Q5VGNpG2glMF67N15Z8dfAKkvk0wf6YzuUC-WmykhwYOJGliAT1stAsGLycRcpUgUKZQTMMw8IoVWr9OP2hkB_4WDAWWB02BQkR2zni4i1jjXrYwG0rPqeclxP_5rJ4xlevwstZCDdi5lg4FDUcMqcwGI91FuRNOxQET0JhZO', 'width': 4000}]",ChIJoVxI6AcFai4RlA4vDqA1RGc,"{'compound_code': '2PC4+XV Untungjawa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P682PC4+XV'}",5.0,ChIJoVxI6AcFai4RlA4vDqA1RGc,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",1,"Untungjawa Island, Jakarta",,
OPERATIONAL,"{'location': {'lat': -5.9775015, 'lng': 106.7072474}, 'viewport': {'northeast': {'lat': -5.976153120107279, 'lng': 106.7085999298927}, 'southwest': {'lat': -5.978852779892723, 'lng': 106.7059002701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lape Resort Syariah at Desa Wisata Pulau Untung Jawa,,ChIJv7lKwccFai4RHVp1tYykHQI,"{'compound_code': '2PC4+XV Untungjawa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P682PC4+XV'}",0.0,ChIJv7lKwccFai4RHVp1tYykHQI,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",0,"Jalan Bougenville, Pulau Untung Jawa, Kab. Administrasi Kepulauan Seribu",,
OPERATIONAL,"{'location': {'lat': -5.9775015, 'lng': 106.7072474}, 'viewport': {'northeast': {'lat': -5.976153120107279, 'lng': 106.7085999298927}, 'southwest': {'lat': -5.978852779892723, 'lng': 106.7059002701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Arwana Homestay,,ChIJS9Vsvz0Fai4R2TUazgWpaac,"{'compound_code': '2PC4+XV Untungjawa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P682PC4+XV'}",0.0,ChIJS9Vsvz0Fai4R2TUazgWpaac,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",0,"Untungjawa Island, Kepulauan Seribu Regency",,
OPERATIONAL,"{'location': {'lat': -5.803205300000001, 'lng': 106.5237907}, 'viewport': {'northeast': {'lat': -5.801740270107278, 'lng': 106.5252635798927}, 'southwest': {'lat': -5.804439929892722, 'lng': 106.5225639201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Samudera Tidung RedPartner,,ChIJXRP26Z3fQS4RPegxjDOWkos,"{'compound_code': '5GWF+PG Tidung Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P685GWF+PG'}",5.0,ChIJXRP26Z3fQS4RPegxjDOWkos,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",2,"Jalan Pantai Selatan, Pulau Tidung, Kab. Administrasi Kepulauan Seribu",,
OPERATIONAL,"{'location': {'lat': -5.8020214, 'lng': 106.5164825}, 'viewport': {'northeast': {'lat': -5.800961320107278, 'lng': 106.5177255798927}, 'southwest': {'lat': -5.803660979892722, 'lng': 106.5150259201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tidung Lagoon,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107842371260508296813"">Tidung Lagoon</a>'], 'photo_reference': 'AZose0k-sGCf7IMXQ75eT9A3E81nozaSuGvwsk0kpRm8xrLGsPK6moHy_ZqNn0Ns14XyZgO26lN1NWh7MyOESFJpwhxayTWnq3LJGP-9xvHsdzyuhdCV_WPaz_xn8pGFcYowgVhL4Uhklm-JozU1Znelcwh1p_yNMZpBVPjSF7gH0DIKrD7l', 'width': 4032}]",ChIJw9KqhOvfQS4RrvK2k7RXv5M,"{'compound_code': '5GX8+5H Tidung Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P685GX8+5H'}",4.4,ChIJw9KqhOvfQS4RrvK2k7RXv5M,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",242,"Kecil, Pulau Tidung, Kab. Administrasi Kepulauan Seribu",{'open_now': True},
OPERATIONAL,"{'location': {'lat': -5.803205300000001, 'lng': 106.5237907}, 'viewport': {'northeast': {'lat': -5.801740270107278, 'lng': 106.5252635798927}, 'southwest': {'lat': -5.804439929892722, 'lng': 106.5225639201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SAFARI TIDUNG TRAVEL,"[{'height': 1970, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117823907582719051187"">A Google User</a>'], 'photo_reference': 'AZose0mBnB2wK6oFKeko6o9mR77WECYP4F8MIWTHlIOwJvSJXbG2eDhrR9OUTUHtCJeHx8sdphUzLp0ZJHV8QGzYHOmPRYA0cELnevGfl_IqU78OaR3dw0t3g_LOVBAvBcoIziMwTiAAFJBzXFuCW5JEFHHxorujoC_noAKmPNfRXnJ9mxOl', 'width': 4160}]",ChIJs72zhOTfQS4RorxQ26EGSUE,"{'compound_code': '5GWF+PG Tidung Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P685GWF+PG'}",5.0,ChIJs72zhOTfQS4RorxQ26EGSUE,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",1,"Pulau tidung rt07/02, Pulau Tidung, Kab. Administrasi Kepulauan Seribu",{'open_now': True},
