business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': -5.741161399999999, 'lng': 106.6031635}, 'viewport': {'northeast': {'lat': -5.739794970107278, 'lng': 106.6045176798927}, 'southwest': {'lat': -5.742494629892722, 'lng': 106.6018180201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Kantor Kelurahan Pulau Panggang,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103945748443026499232"">Azmi Hafizha Rahman</a>'], 'photo_reference': 'AZose0mU8JTd4_Br18ttWZvsR-YujCMbwbUdzx9mLr4zJpxJF4qC0wI9SHr9PJDw2C8cJ_deH4hEQDAXXblauvvMpx-6MZxHdkKvOxC0fCFgsNPzJH3cX0OANtuaKohYE5UGtlJL_JuSEGisH3VQ8Z6Fo3zt1MyXko5NFTQDZC9PEJtWLUyD', 'width': 4160}]",ChIJxVLWLyJ0ai4R4kKA2KcPClY,"{'compound_code': '7J53+G7 Panggang Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P687J53+G7'}",4.8,ChIJxVLWLyJ0ai4R4kKA2KcPClY,GOOGLE,"['point_of_interest', 'establishment']",11,"Panggang Island, Kepulauan Seribu Regency",
OPERATIONAL,"{'location': {'lat': -5.738518699999999, 'lng': 106.6018192}, 'viewport': {'northeast': {'lat': -5.737105120107278, 'lng': 106.6032056798927}, 'southwest': {'lat': -5.739804779892722, 'lng': 106.6005060201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Gedung kewedanaan,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106771297763654861718"">A Google User</a>'], 'photo_reference': 'AZose0lbLfWeYlXCQqmu07R_Aci1KrE58XCibx6_GUWVIVHIAvTSMH0ktcn0r63ybnpMq-xus1PkJY77B9KUfwyL4g3rhj3BZgylKK4Kjon9ZXy4hgOvAk09jk_MGEPmURKX055zu-dFchMgLP9JBle4ouoYVTYG2ae2QIrF-aUEhEGCNzEx', 'width': 4608}]",ChIJmUJVUoh1ai4RyWEDwaKZ8CY,,0.0,ChIJmUJVUoh1ai4RyWEDwaKZ8CY,GOOGLE,"['point_of_interest', 'establishment']",0,"7J62+JP9, Panggang Island, Kepulauan Seribu Regency",
OPERATIONAL,"{'location': {'lat': -5.735551999999999, 'lng': 106.6007161}, 'viewport': {'northeast': {'lat': -5.734286420107278, 'lng': 106.6020729798927}, 'southwest': {'lat': -5.736986079892723, 'lng': 106.5993733201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Pos Angkatan Laut Pulau Karya,{},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107625274100470850831"">A Google User</a>'], 'photo_reference': 'AZose0km9yrbAuFBbgaUJKhGmOVEfDX-J9ZHxe_rjEEVtqyJ9Z9GnqG_oJagun_CQD-DIE2T3hZH5KGkzt0mooYx-qCCKS7nK5qpZwxO4KsBpWtiJhZwzlXQALDtJdVOSC4sLtoGYsQm2nPApw1F5HtyN4NTkYiOCifbHGs7ullgQfT06DHJ', 'width': 3264}]",ChIJwXzwHZ52ai4Rou6LpUwem9Q,,5.0,ChIJwXzwHZ52ai4Rou6LpUwem9Q,GOOGLE,"['point_of_interest', 'establishment']",1,"7J72+Q7P Pulau Karya, Pulau Panggang, Kab. Administrasi Kepulauan Seribu",
OPERATIONAL,"{'location': {'lat': -5.7358098, 'lng': 106.6004652}, 'viewport': {'northeast': {'lat': -5.734459520107278, 'lng': 106.6018192798927}, 'southwest': {'lat': -5.737159179892722, 'lng': 106.5991196201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,PEMADAM KEBAKARAN,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106143985003942329648"">Adi Oktavian</a>'], 'photo_reference': 'AZose0ljZkr12gXZ3tBevpFb_UjONAohvckKPz28-3kboIDnGmSIwNiH5jm1oN0ko9MriVQIksfNEqAj9JCeh5l2z_64FL1rpqIU7YFISkSCuPtV7Ois3nLT2ekyJbqk61rqJN16p-0aWLKH5RHhHEY-Yid9LkMKNyKENz_Ce5PTmbm49SOb', 'width': 1600}]",ChIJbRmlnjR1ai4RChrnuS9Gshw,,5.0,ChIJbRmlnjR1ai4RChrnuS9Gshw,GOOGLE,"['point_of_interest', 'establishment']",1,"7J72+M5G, Pulau Karya, Kab. Administrasi Kepulauan Seribu",
OPERATIONAL,"{'location': {'lat': -5.7417165, 'lng': 106.6032869}, 'viewport': {'northeast': {'lat': -5.740073670107278, 'lng': 106.6045509798927}, 'southwest': {'lat': -5.742773329892722, 'lng': 106.6018513201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PAM - SWRO P. PANGGANG,,,ChIJnas5OfB1ai4RrsFpIhYqpkg,,0.0,ChIJnas5OfB1ai4RrsFpIhYqpkg,GOOGLE,"['point_of_interest', 'establishment']",0,"7J53+887, Panggang Island, Kepulauan Seribu Regency",
OPERATIONAL,"{'location': {'lat': -5.734980600000001, 'lng': 106.6029032}, 'viewport': {'northeast': {'lat': -5.733675970107278, 'lng': 106.6043138798927}, 'southwest': {'lat': -5.736375629892722, 'lng': 106.6016142201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Wisma Bahari Pulau Karya,{},,ChIJXYU50p92ai4RWzwKa2EYj5o,,4.5,ChIJXYU50p92ai4RWzwKa2EYj5o,GOOGLE,"['point_of_interest', 'establishment']",2,"7J83+252, Pulau Karya,, Kelurahan Pulau Panggang, Kabupaten Adm. Kepulauan Seribu, Pulau Panggang, Kab. Administrasi Kepulauan Seribu",
OPERATIONAL,"{'location': {'lat': -5.7375395, 'lng': 106.6004746}, 'viewport': {'northeast': {'lat': -5.736223820107278, 'lng': 106.6018158298927}, 'southwest': {'lat': -5.738923479892722, 'lng': 106.5991161701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Polsubsektor Pulau Panggang,{},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114474822707387605355"">Epriyono Suseno</a>'], 'photo_reference': 'AZose0ncrrfN5MegLgwR_S898ZwwXGpBUwBJeJVNYMvSFzlkePeP8UduNdNKlfSejc_ZnPRxkwza2C2AaZa0A6moRc-j0Vp9Wo-rLhe01i1ABuS7-AJk7VAFLL_nfGXApHyOm00jCFCuzaz0Hrogd20mvJfl8bbblC5u9YTGU_fF-AeeE05Y', 'width': 4000}]",ChIJse2o2iB0ai4RFAtPx7Nz_DQ,,5.0,ChIJse2o2iB0ai4RFAtPx7Nz_DQ,GOOGLE,"['point_of_interest', 'establishment']",2,"7J62+X5X, Panggang Island, Kepulauan Seribu Regency",
OPERATIONAL,"{'location': {'lat': -5.7359423, 'lng': 106.6018371}, 'viewport': {'northeast': {'lat': -5.734511370107279, 'lng': 106.6031660798927}, 'southwest': {'lat': -5.737211029892722, 'lng': 106.6004664201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,UNIT SIAGA BASARNAS JAKARTA PULAU 1000,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114543525384843935165"">Iskan Irtanta</a>'], 'photo_reference': 'AZose0mi2XuziounPWNtnFyXG-GxguhXuIJfJaJUG9fxgWzCBK10tA4Uk1Z4nl8vNIG7fxoMlrFBDu-UatZTtYGubkMX1DHFcAxODhiR0KfYpwpAHzl1gdamLCriCiG9Gf03saI1efXSeepaL_XAXiFLHgkrBqRGN-_oXSXqgZBEaUtDjQnZ', 'width': 1040}]",ChIJxTvavM13ai4Ra7D8piQWa1I,,5.0,ChIJxTvavM13ai4Ra7D8piQWa1I,GOOGLE,"['point_of_interest', 'establishment']",3,"7J72+JPG, Unnamed Road, Pulau Panggang, Kab. Administrasi Kepulauan Seribu",
OPERATIONAL,"{'location': {'lat': -5.735283099999999, 'lng': 106.6008624}, 'viewport': {'northeast': {'lat': -5.733931270107278, 'lng': 106.6022567298927}, 'southwest': {'lat': -5.736630929892722, 'lng': 106.5995570701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RO KARYA,{},"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100194073215319940522"">A Google User</a>'], 'photo_reference': 'AZose0lzyQg2zm1F8RlXl38TeriZJIY_Qj0f1aiD6MfCO29M_4E7YMWF3PqzoLs5GWw4lAtlR8HR8nHmsfIkDLtOaIzt81mZtFMiNAiMSccVIhZ4fExTdwx98Aili1mP_J9CK3eUU-JhtPOkBny27Jbj_Kl0yfaTbaXlPl2wI7RQXR0ZyG_p', 'width': 780}]",ChIJ607qlFR3ai4RcxaFjHhb0ss,,3.0,ChIJ607qlFR3ai4RcxaFjHhb0ss,GOOGLE,"['point_of_interest', 'establishment']",1,"7J72+V8Q, Unnamed Road, Pulau Panggang, Kab. Administrasi Kepulauan Seribu",
OPERATIONAL,"{'location': {'lat': -5.7353498, 'lng': 106.6009109}, 'viewport': {'northeast': {'lat': -5.733999370107278, 'lng': 106.6022728298927}, 'southwest': {'lat': -5.736699029892722, 'lng': 106.5995731701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Ruang Pola,,,ChIJd_4uxFp3ai4RFoEm8iflyLk,"{'compound_code': '7J72+V9 Panggang Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P687J72+V9'}",0.0,ChIJd_4uxFp3ai4RFoEm8iflyLk,GOOGLE,"['point_of_interest', 'establishment']",0,"Pulau Karya No.1, Pulau Panggang, Kab. Administrasi Kepulauan Seribu",
