business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': -6.1869041, 'lng': 106.8303849}, 'viewport': {'northeast': {'lat': -6.185602420107277, 'lng': 106.8317784298927}, 'southwest': {'lat': -6.188302079892721, 'lng': 106.8290787701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rumah Makan Baru,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100059010014192782115"">Rio Rinaldo</a>'], 'photo_reference': 'AZose0k4BKC2OvtgpL3EDfVPpfwseZW8QaocQhYwAojC8bq5pxyQj2dOq-lEjJVDVbuJhG49qesn4Vm-yqQnEuAZvO2Y6zQNiOnFFhKUXAiGrqWMjsNU1jcaYulU1IIMhpRzaa7mZb_pvsZ8SBx543-PrrfoZxl2yLqwBhSIaIbg9zODDs6-', 'width': 4032}]",ChIJsyp_HzH0aS4R1lEzAze3cJA,4.5,ChIJsyp_HzH0aS4R1lEzAze3cJA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",63,"Jl. K.H. Wahid Hasyim No.54A, RT.6/RW.6, Kb. Sirih, Kota Jakarta Pusat","{'compound_code': 'RR7J+65 Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7J+65'}",,
OPERATIONAL,"{'location': {'lat': -6.184787699999999, 'lng': 106.8250804}, 'viewport': {'northeast': {'lat': -6.183446020107278, 'lng': 106.8263729298927}, 'southwest': {'lat': -6.186145679892721, 'lng': 106.8236732701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restoran Sederhana Padang,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116260000256220009235"">Sofyan Adam</a>'], 'photo_reference': 'AZose0lTIuDHq7OUt-wWsqezRVEmOOu-2_7OHryxDZ9FKTYB-1Gy0E1BAAv86y_e1Q73X_80_FCRJl50DTBDehb-Sli4M1JEoI245lU3McHx1OjQ3V15BzmD1m4aSA5WlLB6sbqVfnF8URxvxQMgMC1NKgSRsjzYBWCS9KJ5ceBNeT2bTnvf', 'width': 5312}]",ChIJEe4_NyT0aS4RwzzMobtiFMs,4.4,ChIJEe4_NyT0aS4RwzzMobtiFMs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",706,"Jalan Haji Agus Salim No.35 2 1, RT.1/RW.1, Kb. Sirih, Kota Jakarta Pusat","{'compound_code': 'RR8G+32 Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR8G+32'}",2.0,
OPERATIONAL,"{'location': {'lat': -6.1870825, 'lng': 106.8325441}, 'viewport': {'northeast': {'lat': -6.185808820107279, 'lng': 106.8339134798927}, 'southwest': {'lat': -6.188508479892723, 'lng': 106.8312138201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Rendezvous - Kebon Sirih,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110423941810848136129"">Arga Narada</a>'], 'photo_reference': 'AZose0luVhZqHuVEBrNjknh_X2UZQPfkEBXL1pjos3Tboifn5LrYOCnKag-FaPXZOzhOJUMPkt0UgyhGWMd_i-IpBXZ-qua8JbF2SwuCQi6uYDEwqyKPZjqj8DbrIH6QLIH7R-Fco5pdtlxIiqUF6lMB2HbtS-vYJcj3PL88wBVHEkWi364T', 'width': 4032}]",ChIJoaUdiDr0aS4RjSt1RIFHDVc,4.5,ChIJoaUdiDr0aS4RjSt1RIFHDVc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1818,"Jalan Johar No.2B-C, RT.18/RW.6, Kb. Sirih","{'compound_code': 'RR7M+52 Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7M+52'}",2.0,
OPERATIONAL,"{'location': {'lat': -6.1871358, 'lng': 106.833214}, 'viewport': {'northeast': {'lat': -6.185720270107278, 'lng': 106.8345450298927}, 'southwest': {'lat': -6.188419929892722, 'lng': 106.8318453701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restoran Sederhana Masakan Padang,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112135589122296060135"">Elfiandy Djambak</a>'], 'photo_reference': 'AZose0m-ieeDe6BT0uUB96kZ3VjIcN0q9Hq8wBXuWX1Ju-k4icUGlRX2Mv-LLXnH2k7g1z7_MzicaaOyJv8zv1OE409HJ2Mlm93UBHollfpXMmxChbOVTbqG327l-s_N5Px2sfle9kF7_lZ-fCipdWoLt_Z9egV0mdbDfGie0KAyYoZXUP_G', 'width': 4608}]",ChIJSf0CZTr0aS4R6ALUoc9R6is,4.4,ChIJSf0CZTr0aS4R6ALUoc9R6is,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",404,"Jl. Taman Cut Mutiah No.1, RT.10/RW.5, Kb. Sirih, Kota Jakarta Pusat","{'compound_code': 'RR7M+47 Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7M+47'}",2.0,
OPERATIONAL,"{'location': {'lat': -6.186525, 'lng': 106.8251849}, 'viewport': {'northeast': {'lat': -6.185174170107277, 'lng': 106.8265471798927}, 'southwest': {'lat': -6.187873829892721, 'lng': 106.8238475201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lebanon Restoran,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110449893099250967207"">leondy rionaldo</a>'], 'photo_reference': 'AZose0lllbS9nIbRu6yZMDw8IZfoadsOqSRJvLFV_DQdJjkwAzi0ma2iA-AF3JajV8SDRA1WQ2BlNhaCctJ_ajKtrWiEoKicjjCdA-FLvgY_BUKwnVSHbjj3Q9tcZ_K23KXIKuN6dPf8hJx7Lik_b7_q3PCWsEPT8pITMPrsbw5joTEup9cp', 'width': 3024}]",ChIJz9IU_yX0aS4RLWtlKZaTNfQ,4.4,ChIJz9IU_yX0aS4RLWtlKZaTNfQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",22,"Jl. H. Agus Salim No.57, Kb. Sirih, Kota Jakarta Pusat","{'compound_code': 'RR7G+93 Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7G+93'}",,
OPERATIONAL,"{'location': {'lat': -6.1700234, 'lng': 106.8298797}, 'viewport': {'northeast': {'lat': -6.168668220107277, 'lng': 106.8312564298927}, 'southwest': {'lat': -6.171367879892721, 'lng': 106.8285567701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dapur Babah Elite & Tao Bar,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113722845909658979679"">A Google User</a>'], 'photo_reference': 'AZose0lpUG59c7CKzK4MUJrJKLbQFfx1AMsgQKRHmHCYAMu6WFk9mANe0yymfxjoz19tiZRMYDZugFtq_6A12v4j3M8lls_rTAIvyIQfCnNPdPyZ7vFYrxKhks4AOwnVchCzr2Wl3iU5sgGMlizK0hpTcY2GTtiusJMudMuADESC5ZACz2bi', 'width': 6000}]",ChIJRWFOKs71aS4RvHVWAvAJgbs,4.7,ChIJRWFOKs71aS4RvHVWAvAJgbs,GOOGLE,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1421,"4, Jl. Veteran I No.18-19, RT.4/RW.2, Gambir, Kota Jakarta Pusat","{'compound_code': 'RRHH+XX Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRHH+XX'}",3.0,
OPERATIONAL,"{'location': {'lat': -6.1744027, 'lng': 106.822217}, 'viewport': {'northeast': {'lat': -6.172860870107279, 'lng': 106.8237328298927}, 'southwest': {'lat': -6.175560529892723, 'lng': 106.8210331701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,RM Sederhan,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110827970695127661886"">A Google User</a>'], 'photo_reference': 'AZose0mdmZaUZkdV5XbGq_wZ1JHkMjvpXUj533Np7fK0Duk-omXACBxAlKCJSbb_Dcyr51ZuxKPbsMtlPCEQDkJKe03DICZC3ow3MPPBaz3gVFvaPuLd3Vf9Ywrvpxs521nyXCZJRTQpHc24wC3n61if9ZZ6jKOEUrINI1vEOqN4uwWLwQ-T', 'width': 3120}]",ChIJl9lizJf1aS4RW3H_4-31hMM,4.1,ChIJl9lizJf1aS4RW3H_4-31hMM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",25,"Food Court Kementerian Perhubungan, Jl. Medan Merdeka Barat No.8, RT.2/RW.3, Gambir, Kota Jakarta Pusat","{'compound_code': 'RRGC+6V Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRGC+6V'}",,
OPERATIONAL,"{'location': {'lat': -6.1833405, 'lng': 106.8298808}, 'viewport': {'northeast': {'lat': -6.181851420107279, 'lng': 106.8312497798927}, 'southwest': {'lat': -6.184551079892723, 'lng': 106.8285501201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Sate & Seafood Senayan, Kebon Sirih",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110296156049104621690"">A Google User</a>'], 'photo_reference': 'AZose0m6iy8JMxkl9sOy6P_QOU5pEo-N4VLNLc3T52IrAMl3kNLCXLcJ8WthUbgww2MsYEL0-lXkFZWFAjrx2bItVC_P-Wg9dVWXi4gAhKB3lmyPX5mIwT8Hnl9imaapbTdzViOd-WOLLsv8fjMLfgityIUlf8ZqHMgHvNI8ZBsYHBrbWCJ5', 'width': 4032}]",ChIJIb3O2TH0aS4RZ5p320V5u0Y,4.4,ChIJIb3O2TH0aS4RZ5p320V5u0Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3259,"Jl. Kebon Sirih No.31A, RW.5, Kb. Sirih, Kota Jakarta Pusat","{'compound_code': 'RR8H+MX Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR8H+MX'}",2.0,
OPERATIONAL,"{'location': {'lat': -6.1855556, 'lng': 106.8238889}, 'viewport': {'northeast': {'lat': -6.184218320107278, 'lng': 106.8250666798927}, 'southwest': {'lat': -6.186917979892722, 'lng': 106.8223670201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restoran Fiesta,{'open_now': True},"[{'height': 4516, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112487958026752297864"">A Google User</a>'], 'photo_reference': 'AZose0mq8GaHAfPgTBHZtscdvnlMVT0pdAiG-pm9_qH-gidNVrs_pGHGquY4VmKRmvG1q3J3r9KQIdH8UFBeGm0FcmXnAm495mPqoDY3cJ0ZhvoJ1xREOr4vDlg2Qtyxe4gpxh-23ho-1qk6T3gRRWu6hUd-dQCaC7TFjfOZ7eUxuNG3kSOi', 'width': 7619}]",ChIJlSOqyij0aS4Rs7PvlIT33wc,4.5,ChIJlSOqyij0aS4Rs7PvlIT33wc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",79,"Sari Pan Pacific, Jl. M.H. Thamrin No.6, Kb. Sirih, Jakarta","{'compound_code': 'RR7F+QH Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7F+QH'}",,
OPERATIONAL,"{'location': {'lat': -6.172166, 'lng': 106.811433}, 'viewport': {'northeast': {'lat': -6.170829920107278, 'lng': 106.8127205298927}, 'southwest': {'lat': -6.173529579892722, 'lng': 106.8100208701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restoran Pondok Aroma Laut,{'open_now': True},"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110911924067136155579"">A Google User</a>'], 'photo_reference': 'AZose0kEGMtwQkp4g1rW3hCs5CDxUipLQyf3Ur_1R2R-aej1zZyKgSdjj9sL63Ci2_8WB6WAkQfpaOgWeOwzS7UQMmdY6DafkS_hFmWHM0wVuEGZRmfRfr7IA8Zaptzhu36ilnIh-b9ty4QUievUR3jHphnS6SQJ4GYAbQl2T-mx_43V0yAv', 'width': 1280}]",ChIJc_MFHH72aS4RsD7Q7ha7bSg,4.3,ChIJc_MFHH72aS4RsD7Q7ha7bSg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",350,"Jl. Cideng Timur No.51, RT.9/RW.6, Petojo Sel., Kota Jakarta Pusat","{'compound_code': 'RRH6+4H South Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRH6+4H'}",2.0,
