business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code
OPERATIONAL,"{'location': {'lat': -6.1787063, 'lng': 106.8354983}, 'viewport': {'northeast': {'lat': -6.177488620107277, 'lng': 106.8367109798927}, 'southwest': {'lat': -6.180188279892721, 'lng': 106.8340113201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Senior High School State 4 of Central Jakarta,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111141918804498741776"">Rafi Zulfikar</a>'], 'photo_reference': 'AZose0nBHyzwGXb-sYOot2DQXwh4xFiO1-hKFvgV0yOUz5AfYL-JEQvIs7I2AKW2nqlSg-jvnjI0OCgCGreflenNBEtxTzzR8FVwI8EyOkrymBY2wDLTJor0V1zDs4LhFoYdycUO3wOhzQMV8DvDz2M7JMZaWW5EyfpRLUFsORjZsODuNT2l', 'width': 2304}]",ChIJ3wPxrDP0aS4RSI7dTy_Kcj8,4.6,ChIJ3wPxrDP0aS4RSI7dTy_Kcj8,GOOGLE,"['secondary_school', 'school', 'point_of_interest', 'establishment']",113,"Jl. Batu III No.3, RT.7/RW.1, Gambir, Kota Jakarta Pusat","{'compound_code': 'RRCP+G5 Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRCP+G5'}"
OPERATIONAL,"{'location': {'lat': -6.1837097, 'lng': 106.8179811}, 'viewport': {'northeast': {'lat': -6.182316870107277, 'lng': 106.8193627298927}, 'southwest': {'lat': -6.185016529892721, 'lng': 106.8166630701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMP & SMA Hati Suci,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103639638400508838073"">omzero suparmo</a>'], 'photo_reference': 'AZose0keT_-W5xBpy26EZsNgSRX87fGckMTRV3Fp6Ki_Og7t1LqQS3Hk8Ct0VXlZhX_eb0SqAWdUD1jKSxycCIjXiG_pHTrgTVYEPiNv5drEQVJBR3R3QuloDrPXzy4hEF2bW-QlLcglv9GYyshe5p_ArV6k1tBldOc3yzPOSLgwovu2Mhq7', 'width': 3872}]",ChIJXweTeIL2aS4Rmt3bEwPJfTQ,4.7,ChIJXweTeIL2aS4Rmt3bEwPJfTQ,GOOGLE,"['school', 'point_of_interest', 'establishment']",21,"2, Jl. Hati Suci No.2, RT.4/RW.8, Kp. Bali, Kota Jakarta Pusat","{'compound_code': 'RR89+G5 Kampung Bali, Central Jakarta City, Jakarta', 'global_code': '6P58RR89+G5'}"
OPERATIONAL,"{'location': {'lat': -6.1675118, 'lng': 106.8135097}, 'viewport': {'northeast': {'lat': -6.166108420107277, 'lng': 106.8148486298927}, 'southwest': {'lat': -6.168808079892721, 'lng': 106.8121489701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMA Negeri 25 Jakarta,,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111387715777757640405"">Maruhal Mangasi</a>'], 'photo_reference': 'AZose0lmfQPEKNn26oRKDtVkbwAmrk5WSb6G78RVfFrAQnSNwnNz3xZ0h4zDjpxWS9573_GqoqA-Xm0oytliwaWytV2zqfg-cYrrT8D9cRFV8OT6hPrFsa6gq55VU9bEfkP73QtaJgLDQcERN5IQfmFP7ll_mjrO2IHdBhnLVCOvIszf6hmq', 'width': 4624}]",ChIJIW3kxXn2aS4RDE9HsCYcUNg,4.4,ChIJIW3kxXn2aS4RDE9HsCYcUNg,GOOGLE,"['secondary_school', 'point_of_interest', 'school', 'establishment']",90,"Jalan A.M Sangaji No. 22-24 Petojo Utara Gambir RT.2/RW.5 2 5, RT.2/RW.5, Petojo Utara, Kota Jakarta Pusat","{'compound_code': 'RRJ7+WC North Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRJ7+WC'}"
OPERATIONAL,"{'location': {'lat': -6.164473399999999, 'lng': 106.8011873}, 'viewport': {'northeast': {'lat': -6.163114420107278, 'lng': 106.8025283798927}, 'southwest': {'lat': -6.165814079892722, 'lng': 106.7998287201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMA PGRI 14 (ASET PEMDA DKI),,,ChIJtcXvIG_2aS4RGyk5HiI5fho,4.2,ChIJtcXvIG_2aS4RGyk5HiI5fho,GOOGLE,"['point_of_interest', 'school', 'establishment']",5,"Jl. Setia Kawan III No.41, RT.1/RW.7, Duri Pulo, Kota Jakarta Pusat","{'compound_code': 'RRP2+6F Duri Pulo, Central Jakarta City, Jakarta', 'global_code': '6P58RRP2+6F'}"
OPERATIONAL,"{'location': {'lat': -6.1665024, 'lng': 106.8311683}, 'viewport': {'northeast': {'lat': -6.165200070107279, 'lng': 106.8326817298927}, 'southwest': {'lat': -6.167899729892723, 'lng': 106.8299820701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMA Kristen 2 PENABUR Jakarta,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105620629549112767227"">Aryawan Wibisono</a>'], 'photo_reference': 'AZose0nzbGtyM8rgW5Glq59ab-3MHFxxsf6dVaPscSEEh7kzSc4nIn49jZ0XW6og-mXvEDxyWuPwZTax0xl8pOxENvJzUNaelUOi_RaYLKfoKSSe2Soqm1YViBlOoXxFGr8TtPyXL2XQtDWBH2p0yDiAbheXPvfEzgu73SgBByfc4OBOsJ-a', 'width': 5184}]",ChIJH4Ofx8_1aS4RT59zaYhYXN4,4.5,ChIJH4Ofx8_1aS4RT59zaYhYXN4,GOOGLE,"['school', 'point_of_interest', 'establishment']",72,"Jl. Pintu Air Raya No.11, RT.8/RW.1, Ps. Baru, Kota Jakarta Pusat","{'compound_code': 'RRMJ+9F Pasar Baru, Central Jakarta City, Jakarta', 'global_code': '6P58RRMJ+9F'}"
OPERATIONAL,"{'location': {'lat': -6.1592316, 'lng': 106.8045809}, 'viewport': {'northeast': {'lat': -6.157899520107279, 'lng': 106.8059601298927}, 'southwest': {'lat': -6.160599179892722, 'lng': 106.8032604701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Sekolah Damai,{'open_now': True},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112215941541776083589"">Sekolah Damai Jakarta</a>'], 'photo_reference': 'AZose0mc-skYd9t_zxtF5z2LX6VX4o5vH3FV4YqlzSoSFkrWWa_2MbXIxzfw_ImJDc8Oy1XJhUD0guvADa93Nn0wYUyeypg52uHFCjIBJSFAZLsjKXOBp25jpUKOsP0y7Nj1c4ARhLthxcfkr2qVvGIzhUjw0IhthauYPrdNyXfv0VGbiJc1', 'width': 1366}]",ChIJYfsXRWz2aS4RmM7Qle_Retg,4.8,ChIJYfsXRWz2aS4RmM7Qle_Retg,GOOGLE,"['school', 'primary_school', 'point_of_interest', 'establishment']",115,"Jl. Duri Selatan V No.29, RT.14/RW.2, Duri Sel., Kota Jakarta Barat","{'compound_code': 'RRR3+8W South Duri, West Jakarta City, Jakarta', 'global_code': '6P58RRR3+8W'}"
OPERATIONAL,"{'location': {'lat': -6.159062899999999, 'lng': 106.8324378}, 'viewport': {'northeast': {'lat': -6.157598470107278, 'lng': 106.8337269298927}, 'southwest': {'lat': -6.160298129892722, 'lng': 106.8310272701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMAN 20 Jakarta,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115095751735533398033"">Sahrulah Hasbi</a>'], 'photo_reference': 'AZose0kYK0dSH3FTTXHzP84RBaDySmuQ4XVEEKvSWUN5BMNA5jGsCBoBSBb40NdRLsCv4QMKGV9XrGPljsIP2u0xn2Ia6NREAULVn-B7p6US5Gzqt_IAu8ZqdLe8EOwqBfI7PLuH0J6u9XGvMbCMvuDCaOKDONElMmFnF5NGiuM-jB1dSRuR', 'width': 6320}]",ChIJt3OLcsP1aS4RJxvWoFWTLBg,4.7,ChIJt3OLcsP1aS4RJxvWoFWTLBg,GOOGLE,"['secondary_school', 'school', 'point_of_interest', 'establishment']",95,"4, Jl. Krekot III No.1, RT.1/RW.5, Ps. Baru, Kota Jakarta Pusat","{'compound_code': 'RRRJ+9X Pasar Baru, Central Jakarta City, Jakarta', 'global_code': '6P58RRRJ+9X'}"
OPERATIONAL,"{'location': {'lat': -6.1619258, 'lng': 106.842789}, 'viewport': {'northeast': {'lat': -6.160596170107278, 'lng': 106.8440659798927}, 'southwest': {'lat': -6.163295829892722, 'lng': 106.8413663201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMA Muhammadiyah 2 Jakarta,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116193491584135460358"">A Google User</a>'], 'photo_reference': 'AZose0kgM0Wrj1B2NAOZf5WVATGyCOj1XauTjXTPBO_s0_RCNXiLuo0sTJm3mMCyfd9CZEPBfmH9HwvCFt10D72ZOW1HtxWrSRZ5yvgXKBEURzz-jMlF1lwDoOSjmW-Offl_wgA0N8HqtdlaJPOw9Sso9K99EXyVt_NbUwOORz05XdASqVlI', 'width': 2128}]",ChIJf13av7j1aS4RUcryCmvJyJU,4.3,ChIJf13av7j1aS4RUcryCmvJyJU,GOOGLE,"['school', 'point_of_interest', 'establishment']",32,"9, Jl. Garuda No.33, RT.9/RW.6, Gn. Sahari Sel., Kota Jakarta Pusat","{'compound_code': 'RRQV+64 South Gunung Sahari, Central Jakarta City, Jakarta', 'global_code': '6P58RRQV+64'}"
OPERATIONAL,"{'location': {'lat': -6.1665398, 'lng': 106.8375932}, 'viewport': {'northeast': {'lat': -6.165227470107278, 'lng': 106.8389063798927}, 'southwest': {'lat': -6.167927129892722, 'lng': 106.8362067201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SMAN 1 JAKARTA,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117957151919910048989"">nyoman natih</a>'], 'photo_reference': 'AZose0kfaOaMv-wheiA6EZAZrTbOBU-_-WovDHZdYpXAsTpp8jM9ElT9A4DFMB-uZhNW_7m_8oJjSfGTy2CgnN9FdMr4nrF_haSgLxQGV3vdGcJSoJC3d1aPsgSgMzVYkGUFD6sQmq9DPeuw7qUIIO9VV8QC5pqta8SIb1SkmVBRnD7SneAQ', 'width': 1600}]",ChIJAcB7Qxb1aS4RCTLrEjuQRU4,5.0,ChIJAcB7Qxb1aS4RCTLrEjuQRU4,GOOGLE,"['school', 'point_of_interest', 'establishment']",20,"Jl. Budi Utomo No.7, Ps. Baru, Kota Jakarta Pusat","{'compound_code': 'RRMQ+93 Pasar Baru, Central Jakarta City, Jakarta', 'global_code': '6P58RRMQ+93'}"
OPERATIONAL,"{'location': {'lat': -6.163425, 'lng': 106.833369}, 'viewport': {'northeast': {'lat': -6.162035120107277, 'lng': 106.8347998798927}, 'southwest': {'lat': -6.164734779892721, 'lng': 106.8321002201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sma Majalaya Putra,,,ChIJC0ic09TAaC4RgeLimHiqjU0,0.0,ChIJC0ic09TAaC4RgeLimHiqjU0,GOOGLE,"['point_of_interest', 'establishment']",0,"Jl. Ps. Baru No.75, RT.6/RW.1, Ps. Baru, Kota Jakarta Pusat","{'compound_code': 'RRPM+J8 Pasar Baru, Central Jakarta City, Jakarta', 'global_code': '6P58RRPM+J8'}"
