,Kelurahan,Kecamatan,Nama SMA,Alamat
0,"Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu",KEP. SERIBU UTARA,SMA NEGERI 69 JAKARTA Kepulauan Seribu,"Alamat: 7J27+X95, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
1,Pulau Tidung,KEP. SERIBU SELATAN,SMK NEGERI 61 Kepulauan Seribu,"Alamat: 5GX5+4Q8, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
2,Pulau Tidung,KEP. SERIBU SELATAN,ASRAMA SMKN 61 JAKARTA,"Alamat: JLN PANTAI SELATAN No.1, Pulau Tidung, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520 "
3,Gambir,GAMBIR,SMA Negeri 4 Jakarta,"Alamat: Jl. Batu III No.3, RT.7/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110 "
4,Petojo Utara,GAMBIR,SMAN 25 Jakarta,"Alamat: Jalan A.M Sangaji No. 22-24 Petojo Utara Gambir RT.2/RW.5 2 5, RT.2/RW.5, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
5,Petojo Utara,GAMBIR,SMK Rex Mundi,"Alamat: Jl. Alaydrus No.42, RT.3/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
6,Petojo Sel.,GAMBIR,SMK Jakarta Pusat 1,"Alamat: Jl. Abdul Muis No.44, RT.1/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
7,Kb. Klp.,GAMBIR,SMK Santa Maria,"Alamat: Jl. Ir. H. Juanda No.29, RT.7/RW.3, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120 "
8,Duri Pulo,GAMBIR,SMA PGRI 14 (ASET PEMDA DKI),"Alamat: Jl. Setia Kawan III No.41, RT.1/RW.7, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140 "
9,Ps. Baru,SAWAH BESAR,Sekolah Menengah Atas Negeri 20 Jakarta Pusat,"Alamat: 4, Jl. Krekot III No.1, RT.1/RW.5, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
10,Ps. Baru,SAWAH BESAR,SMAN 1 JAKARTA,"Alamat: Jl. Budi Utomo No.7, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
11,Ps. Baru,SAWAH BESAR,Sekolah Menengah Atas Kristen Karunia,"Alamat: Jl. Kartini Raya No.10 A, RT.13/RW.5, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
12,Ps. Baru,SAWAH BESAR,SMA Kristen 2 PENABUR Jakarta,"Alamat: Jl. Pintu Air Raya No.11, RT.8/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
