,Kelurahan,Kecamatan,Nama SMA,Alamat
0,Balecatur,GAMPING,ILS Taruna Panatagama,"Alamat: 674R+7R8, Jl. Mahakam, Kluwih, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
1,Ambarketawang,GAMPING,SMK YPKK 1 Sleman,"Alamat: Jl. Sidoarum-Gamping No.2, Mejing Wetan, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
2,Banyuraden,GAMPING,SMA Negeri 1 Gamping,"Alamat: Jl. Tegalyoso, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
3,Banyuraden,GAMPING,SMA Islam 1 Sleman Islamic HighSchool,"Alamat: Jln. Wates Km. 4 Pelemgurih, Banyuraden, Gamping, Jl. Sri Rahayu No.72, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
4,Banyuraden,GAMPING,Wahyu Santoso,"Alamat: 686Q+3HG, Kanoman, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
5,Nogotirto,GAMPING,SMP Ma'arif Gamping,"Alamat: Jl. Pundung, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
6,Nogotirto,GAMPING,MA Assalafiyyah Mlangi,"Alamat: Jl. Nyai Nasiah, Mlangi, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
7,Sidoagung,GODEAN,SMK Negeri 2 Godean,"Alamat: 67QR+4GV, Jl. Jae Sumantoro, Jowah, Sidoagung, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
8,Sidokarto,GODEAN,SMA Negeri 1 Godean,"Alamat: Jl. Sidokarto No.5, Area Sawah, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55564 "
9,Sidoarum,GODEAN,MA Pamulangan,"Alamat: 68MH+QG3, Besi, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
10,Sidoarum,GODEAN,MA Negeri 1 Sleman,"Alamat: 68HG+JC6, Jl. Pramuka, Besi, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
11,Sidoarum,GODEAN,"Mie jawa instan""Priyayi Jogja""","Alamat: Sebaran Sidoarum Gidean, Seboran, Sidoarum, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
12,Sidomoyo,GODEAN,Ana private,"Alamat: Jl. Sidomoyo Gang Ulu-Ulu No.322-B, Area Sawah, Sidomoyo, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
13,Sumberagung,MOYUDAN,SMK Muhammadiyah 1 Moyudan,"Alamat: SMK Muh 1 Moyudan Jalan Klangon-Gedongan km 4 RW.5, Area Sawah, Sumberagung, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563 "
