,Kelurahan,Kecamatan,Nama Starbucks,Alamat
0,Petojo Sel.,GAMBIR,Starbucks Cideng,"Alamat: RRF6+VV4, Jl. Cideng Timur, RT.4/RW.6, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
1,Petojo Sel.,GAMBIR,Starbucks Ba'Be,"Alamat: RRC9+MG2, RT.4/RW.3, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
2,Kb. Klp.,GAMBIR,Starbucks DT Hayam Wuruk,"Alamat: Jl. Hayam Wuruk No.8, RT.6/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120 "
3,Gn. Sahari Utara,SAWAH BESAR,Starbucks - Royalton Kemayoran,"Alamat: RRXR+P7V, Jl. Industri Raya, RT.1/RW.7, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720 "
4,Mangga Dua Sel.,SAWAH BESAR,Starbucks RS Husada,"Alamat: Jl. Raya Mangga Besar No.1, RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
5,Kec. Kemayoran,KEMAYORAN,Starbucks Citra Xperience,"Alamat: RVR3+54J, RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
6,Kb. Kosong,KEMAYORAN,Starbucks Citra Xperience,"Alamat: RVR3+54J, RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
7,Senen,SENEN,Starbucks plaza atrium jakarta,"Alamat: Plaza Atrium, Jl. Senen Raya No.135, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410 "
8,Kenari,SENEN,Starbucks Raden Saleh Cikini,"Alamat: Jl. Raden Saleh Raya No.8, RT.10/RW.1, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
9,Paseban,SENEN,Starbucks RS St. Carolus,"Alamat: Rumah Sakit St. Carolus, Jl. Salemba Raya No.3, RT.3/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
10,Paseban,SENEN,Starbucks Salemba,"Alamat: Jl. Salemba Raya No.59, RT.9/RW.5, Paseban, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
11,Rawasari,CEMPAKA PUTIH,Starbucks Coffee,"Alamat: Green Pramuka Square Ground Floor, Jl. Jenderal Ahmad Yani No.Kav. 49, RT.13/RW.9, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570 "
12,Pegangsaan,MENTENG,Starbucks,"Alamat: Jl. Pegangsaan Timur No.21, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
13,Cikini,MENTENG,Starbucks Menteng Huis,"Alamat: Lt. Dasar, Jl. Cikini Raya No.2-4, RT.13/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 "
14,Gondangdia,MENTENG,Starbucks,"Alamat: Jl. HOS. Cokroaminoto No.79, RT.3/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
15,Gondangdia,MENTENG,Starbucks Plaza Indonesia Lv 4,"Alamat: M.H., Jl. K.H. Wahid Hasyim No.15, RT.7/RW.5, Gondangdia, Menteng, Central Jakarta City, Jakarta 10350 "
16,Gondangdia,MENTENG,Starbucks MRT Bundaran HI,"Alamat: Jl. M.H. Thamrin No.51-55, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
17,Kb. Sirih,MENTENG,Starbucks,"Alamat: Jl. M.H. Thamrin No.9, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340 "
18,Kb. Sirih,MENTENG,Starbucks Sabang,"Alamat: Jl. H. Agus Salim No.19, RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340 "
19,Gelora,TANAH ABANG,Starbucks Gelora Bung Karno,"Alamat: QRJ3+388, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
