business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,photos,price_level
OPERATIONAL,"{'location': {'lat': -6.1719651, 'lng': 106.8196778}, 'viewport': {'northeast': {'lat': -6.170622970107277, 'lng': 106.8210519298927}, 'southwest': {'lat': -6.173322629892721, 'lng': 106.8183522701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Niaga Jaya,{'open_now': True},ChIJC8WB3NX1aS4RVHUDhXHGYa4,4.0,ChIJC8WB3NX1aS4RVHUDhXHGYa4,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"RRH9+6V7, Jl. Tanah Abang I, RT.11/RW.8, Petojo Sel., Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.1763162, 'lng': 106.832768}, 'viewport': {'northeast': {'lat': -6.174938570107277, 'lng': 106.8341532798927}, 'southwest': {'lat': -6.177638229892721, 'lng': 106.8314536201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,HUDAN CELL,{'open_now': True},ChIJdayQOGj1aS4R4WDVKsaT1DA,4.0,ChIJdayQOGj1aS4R4WDVKsaT1DA,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",13,"Jl. Pejambon I No.1 B, Gambir, Kota Jakarta Pusat","{'compound_code': 'RRFM+C4 Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRFM+C4'}","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106413819259441089991"">A Google User</a>'], 'photo_reference': 'AZose0k4qEvf66cYRL1Xl8ksUX4MQI01WaKHl2PnCHAQFcWgyCYSJufFmtLNcHTkI73j9qDkMx9UWmRMAJuUqCKC2TCXNVmdU-zY6azWyTrGJQAA-Omi-RpgAzRtOuXM91nNtS_XZFyn_B5Bvyg9YsV7LFyNFKiGOCohJ6GA8x0HMYkmYbPJ', 'width': 1080}]",
OPERATIONAL,"{'location': {'lat': -6.1864878, 'lng': 106.8340778}, 'viewport': {'northeast': {'lat': -6.185136520107277, 'lng': 106.8354621298927}, 'southwest': {'lat': -6.187836179892721, 'lng': 106.8327624701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,TOKO SR.MUJI JAYA,{'open_now': True},ChIJ_8EpCzr0aS4R_Nd0MHQM3N8,5.0,ChIJ_8EpCzr0aS4R_Nd0MHQM3N8,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"Pusat grosir senen jaya blok b9 no.7 lt.3, Pusat, RT.4/RW.9, Kb. Sirih, Kota Jakarta Pusat","{'compound_code': 'RR7M+CJ Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7M+CJ'}","[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105946237924415429779"">Maz Broo</a>'], 'photo_reference': 'AZose0leFBCbkUEcOXg0rURv9K-ijBtJy3RI03VE6BkCA1yTIXG3NESdri2_CW6wyjpWqpV_8CdX0VI3XKkdfzCZxZJcEQ9z-xmPoCcmQG0pmqCF1kZOSjPKnmaMccv1THYX4CbnOd2HCo1YoOQtWXsAmgVk1MYBHnk9HegceAO961BHgyfm', 'width': 3096}]",
OPERATIONAL,"{'location': {'lat': -6.177898099999999, 'lng': 106.8311977}, 'viewport': {'northeast': {'lat': -6.176542820107278, 'lng': 106.8325658298927}, 'southwest': {'lat': -6.179242479892721, 'lng': 106.8298661701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,The Coazther Stasiun Gambir,{'open_now': True},ChIJUflPkzL0aS4REoipPBIo4Cg,4.7,ChIJUflPkzL0aS4REoipPBIo4Cg,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",3,"Jl. Medan Merdeka Tim. No.13, RT.5/RW.2, Gambir, Kota Jakarta Pusat","{'compound_code': 'RRCJ+RF Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRCJ+RF'}","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101344060940516695868"">Bingah Nanto Fajrin</a>'], 'photo_reference': 'AZose0lcofsOH78tjE-m6kiXWZeR3ORhgLKqTa6M83w6firKU9F_gjQVRTMeCfe7iJaOptwvgsadVI9s7mDFffOmLSZQ_lhG84zKBA4yKm2ZOd5dq8-gVm7SN6LR_d5AxQDKKPjGyaluuVZOf-d5pr5ZIorFU2LeM73ygU5Ia1bKKuvUoGAd', 'width': 4160}]",
OPERATIONAL,"{'location': {'lat': -6.176996099999999, 'lng': 106.8340753}, 'viewport': {'northeast': {'lat': -6.175603670107278, 'lng': 106.8354249798927}, 'southwest': {'lat': -6.178303329892722, 'lng': 106.8327253201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,INDOMARET PEJAMBON-FXI2,,ChIJKTwzI0b1aS4RZWJD21LqToI,3.0,ChIJKTwzI0b1aS4RZWJD21LqToI,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"RRFM+6JG, Jl. Pejambon I, RT.16/RW.1, Gambir, Kota Jakarta Pusat",,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110335711548653710273"">A Google User</a>'], 'photo_reference': 'AZose0kGPr2nWib_3anHKP185AVmlYEGDx8cYBEu7whWGLjhmNcmpybOMQepN_LNvLMWTo-xkxxEskbzZoKqNNtOxv2wPMygcwnfPFT8AxRNraOG9vdztSKnBv33EmiWZkNEUyHa-pTFpy5OSvIwBqmgP6Lq0PRIp8WydVXV8FbEbMMWa-MK', 'width': 1920}]",
OPERATIONAL,"{'location': {'lat': -6.187769599999999, 'lng': 106.8239218}, 'viewport': {'northeast': {'lat': -6.186152420107279, 'lng': 106.8252916298927}, 'southwest': {'lat': -6.188852079892722, 'lng': 106.8225919701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Sarinah,,ChIJQTd1Bfn1aS4R3iiKEecmSK4,5.0,ChIJQTd1Bfn1aS4R3iiKEecmSK4,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",3,"Sarinah Department Store, Jl. K.H. Wahid Hasyim, RT.8/RW.4, Gondangdia, Central Jakarta City","{'compound_code': 'RR6F+VH Gondangdia, Central Jakarta City, Jakarta', 'global_code': '6P58RR6F+VH'}","[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101244794125076583113"">waldemar siahaan</a>'], 'photo_reference': 'AZose0n9UvAZiG-0jr6VP9o-dCXdFuMl-FeAShUF-2rNYHDjzwQon16kWfGMr3cz9iWpyPp2LzFEWwXq8NIdQgdFp2eGpQUm4WiDQVmwvT2Ezt468uM3KhjBJ8aDCiYVw9sDM8RYbm-8JbHyLCoFRLalkxe-s6do2TD8gStpsNrugPyqqcZM', 'width': 4000}]",
OPERATIONAL,"{'location': {'lat': -6.1696123, 'lng': 106.8204591}, 'viewport': {'northeast': {'lat': -6.168182020107277, 'lng': 106.8218007298927}, 'southwest': {'lat': -6.170881679892721, 'lng': 106.8191010701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,PERMATA MAJAPAHIT PLAZA,{'open_now': True},ChIJW5FBWNb1aS4Rmlge5caEyu4,4.7,ChIJW5FBWNb1aS4Rmlge5caEyu4,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",3,"Jl. Majapahit No.18-22, RT.14/RW.8, Petojo Sel., Kota Jakarta Pusat","{'compound_code': 'RRJC+45 South Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRJC+45'}",,
OPERATIONAL,"{'location': {'lat': -6.1804597, 'lng': 106.8353227}, 'viewport': {'northeast': {'lat': -6.179085920107278, 'lng': 106.8366459798927}, 'southwest': {'lat': -6.181785579892722, 'lng': 106.8339463201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Toko H. Usman,{'open_now': True},ChIJcbP_9jP0aS4RVBAt-oR3XfA,4.2,ChIJcbP_9jP0aS4RVBAt-oR3XfA,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",9,"RR9P+R48, Prapatan, RT.1/RW.1, Senen, Kota Jakarta Pusat",,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111512804408377416035"">rasyid umara</a>'], 'photo_reference': 'AZose0kWI8EWpq2LSCoe32ABCWGOaWU_oFH7si83IEj6O-x2DMpZsNE-oSx9CtrnrpHc5iJh4VEucB7yBuBRXNHhVxqFoNFagQxoiIBIm7sr5fHywza2PekCk77PzYk-g3HpcDp8FWqG64qf9PbE830SgD5w4b2mISiBfDvY70-3bNDWPuSi', 'width': 3096}]",
OPERATIONAL,"{'location': {'lat': -6.1888422, 'lng': 106.8217007}, 'viewport': {'northeast': {'lat': -6.187490370107278, 'lng': 106.8230279798927}, 'southwest': {'lat': -6.190190029892721, 'lng': 106.8203283201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,RONGshop,{'open_now': True},ChIJddaPQGf1aS4RwRFEqX7bMRk,5.0,ChIJddaPQGf1aS4RwRFEqX7bMRk,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"Rusun, Jl. Kb. Kacang XI, Kb. Kacang, Kota Jakarta Pusat","{'compound_code': 'RR6C+FM Kebon Kacang, Central Jakarta City, Jakarta', 'global_code': '6P58RR6C+FM'}",,
OPERATIONAL,"{'location': {'lat': -6.1699227, 'lng': 106.8187288}, 'viewport': {'northeast': {'lat': -6.168561370107279, 'lng': 106.8201167298927}, 'southwest': {'lat': -6.171261029892722, 'lng': 106.8174170701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Ome88 Fashion Shop,{'open_now': True},ChIJ6wQaDPX1aS4Rce7589b2dy8,5.0,ChIJ6wQaDPX1aS4Rce7589b2dy8,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",2,Pusat Grosir Metro Tanah Abang 2 Lantai 3 Blok B,"{'compound_code': 'RRJ9+2F South Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRJ9+2F'}","[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103095487866982923336"">A Google User</a>'], 'photo_reference': 'AZose0noLa-ALMeOz4IO6peFvoPyTfA3zC0lZ-Ka9rOMJ4mUQKSMdizumDIBGPvKSQqCBuOMym_vfAYP01IDf7xXs-S5-NpLqyOJVBmmtWsNs7gDJLiP3sRTNq2Hp9hz_m8naBd5RXvIuEtiXEMhcYxlOzLp0MV_iG7nhV_hUq0H_8s54eSB', 'width': 400}]",
