business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,permanently_closed
OPERATIONAL,"{'location': {'lat': -6.171345899999999, 'lng': 106.8211734}, 'viewport': {'northeast': {'lat': -6.170056370107277, 'lng': 106.8225333798927}, 'southwest': {'lat': -6.172756029892721, 'lng': 106.8198337201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Sekolah Tinggi Ilmu Hukum LPIHM-IBLAM,ChIJDWAfgtb1aS4RFRhrYk8CIQU,"{'compound_code': 'RRHC+FF South Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRHC+FF'}",5.0,ChIJDWAfgtb1aS4RFRhrYk8CIQU,GOOGLE,"['university', 'point_of_interest', 'establishment']",2,"11, Jl. Abdul Muis No.6-8, RT.11/RW.8, Petojo Sel., Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.170033699999999, 'lng': 106.8197221}, 'viewport': {'northeast': {'lat': -6.168677020107277, 'lng': 106.8210940298927}, 'southwest': {'lat': -6.171376679892722, 'lng': 106.8183943701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,STIE Jayakusuma,ChIJj2MNi9X1aS4R6NY2Ok99fko,"{'compound_code': 'RRH9+XV South Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRH9+XV'}",4.6,ChIJj2MNi9X1aS4R6NY2Ok99fko,GOOGLE,"['university', 'point_of_interest', 'establishment']",76,"Jl. Suryo Pranoto 1-9 Petojo Selatan Gambir Jakarta Pusat DKI Jakarta RT.14, RW.8, Petojo Sel., Kota Jakarta Pusat",{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113643586846992568174"">A Google User</a>'], 'photo_reference': 'AZose0nTzxY68vir-SLgCzOW3eNOAl3LKmLgkgjwgN2UK6O_lnyb-TlG-41gtwjVth1pYuBI4p3BjF0NY-0Qx6HpzReOeMSr113ve86pNcLU_HLBlLrEjGdfIrmqdUTApx6L8p49JS9XjkI7T670WlJzCXSZBd3Apw2VeOiX0XbY8OVoEzJN', 'width': 3456}]",
OPERATIONAL,"{'location': {'lat': -6.185058, 'lng': 106.8256806}, 'viewport': {'northeast': {'lat': -6.183890520107277, 'lng': 106.8270117298927}, 'southwest': {'lat': -6.186590179892721, 'lng': 106.8243120701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Sekolah Tinggi Manajemen Labora,ChIJhyTCEy_0aS4R7B2m48i0rP8,"{'compound_code': 'RR7G+X7 Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7G+X7'}",0.0,ChIJhyTCEy_0aS4R7B2m48i0rP8,GOOGLE,"['university', 'point_of_interest', 'establishment']",0,"Jl. Cisadane No.2, RT.1/RW.1, Kb. Sirih, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.185828400000001, 'lng': 106.8363342}, 'viewport': {'northeast': {'lat': -6.184540570107278, 'lng': 106.8377056298927}, 'southwest': {'lat': -6.187240229892722, 'lng': 106.8350059701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Mercu Buana University - Menteng Campus,ChIJLdu2zTD0aS4RjXwnb28Xekc,"{'compound_code': 'RR7P+MG Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7P+MG'}",4.4,ChIJLdu2zTD0aS4RjXwnb28Xekc,GOOGLE,"['university', 'point_of_interest', 'establishment']",183,"Jl. Menteng Raya No.29, RT.1/RW.10, Kb. Sirih, Kota Jakarta Pusat",,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115204051659537414422"">JASMADI JASMADI</a>'], 'photo_reference': 'AZose0lVGz3ixUxexmwjffaD90OMyf-r8TTcT22_gHhuJzSd50UmqRE5yDTcYXWvLkoUIJlIgJG5DUwe5qF1wLGzJKDZ-n5RXt3GJEQjdIP4ovBCIFY2TsEw6vt8Syb1p_GQVTz-1gCLi502tK6IjKxdHH8vQPwnA77LELkbyt-9ARpNiMcT', 'width': 1600}]",
OPERATIONAL,"{'location': {'lat': -6.1728971, 'lng': 106.818103}, 'viewport': {'northeast': {'lat': -6.171526870107278, 'lng': 106.8194495798927}, 'southwest': {'lat': -6.174226529892722, 'lng': 106.8167499201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Akademi Manajemen Keuangan YP IPPI,ChIJ64kUi9X1aS4R9qj2R7HxNDs,"{'compound_code': 'RRG9+R6 North Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRG9+R6'}",0.0,ChIJ64kUi9X1aS4R9qj2R7HxNDs,GOOGLE,"['university', 'point_of_interest', 'establishment']",0,"Jl. Petojo Bar. III No.2, RT.11/RW.8, Petojo Utara, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.187318599999999, 'lng': 106.8263079}, 'viewport': {'northeast': {'lat': -6.185865120107278, 'lng': 106.8276378798927}, 'southwest': {'lat': -6.188564779892721, 'lng': 106.8249382201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Lembaga Perguruan Taman Taruna Nusantara,ChIJKeLE9SX0aS4RhbxCatW_RNc,"{'compound_code': 'RR7G+3G Kebon Sirih, Central Jakarta City, Jakarta', 'global_code': '6P58RR7G+3G'}",5.0,ChIJKeLE9SX0aS4RhbxCatW_RNc,GOOGLE,"['university', 'point_of_interest', 'establishment']",3,"Jl. K.H. Wahid Hasyim No.7, RT.1/RW.4, Kb. Sirih, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.1806971, 'lng': 106.818201}, 'viewport': {'northeast': {'lat': -6.179442420107279, 'lng': 106.8195190298927}, 'southwest': {'lat': -6.182142079892722, 'lng': 106.8168193701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SEKOLAH TINGGI ILMU KESEHATAN BUDI KEMULIAAN,ChIJn5eFDCr0aS4R5fdzrZ6mjlE,"{'compound_code': 'RR99+P7 Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RR99+P7'}",4.6,ChIJn5eFDCr0aS4R5fdzrZ6mjlE,GOOGLE,"['university', 'point_of_interest', 'establishment']",16,"3, Jl. Budi Kemuliaan No.25, Kota Jakarta Pusat",{'open_now': True},"[{'height': 3157, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103109451333165476113"">A Google User</a>'], 'photo_reference': 'AZose0mCypKB5MUu120dbo08C1l2C_AEWkzTNB711ZsN92M9uQXaCSYGQzuogXPFA6NlCkl5BFjuPnReJgCUeZZM3VlEITPOoe5r-kUxmsAxjlccEPT9mpBBfbvZezqStNcDeuYUCrW4zwD_-i-_nZSYLISkdf5nPefWo0nQf5zwu8WGA_0A', 'width': 3801}]",
OPERATIONAL,"{'location': {'lat': -6.1805113, 'lng': 106.8283831}, 'viewport': {'northeast': {'lat': -6.179142620107278, 'lng': 106.8297319298927}, 'southwest': {'lat': -6.181842279892722, 'lng': 106.8270322701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Yayan,ChIJwdlFifH1aS4R3ZCS_RDmhbU,,0.0,ChIJwdlFifH1aS4R3ZCS_RDmhbU,GOOGLE,"['university', 'point_of_interest', 'establishment']",0,"RR9H+Q9R, Gambir, Central Jakarta City",,,
OPERATIONAL,"{'location': {'lat': -6.1730046, 'lng': 106.82232}, 'viewport': {'northeast': {'lat': -6.171663420107277, 'lng': 106.8237872298927}, 'southwest': {'lat': -6.17436307989272, 'lng': 106.8210875701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Mandiri University,ChIJmdfnadT1aS4RP4kcxpZyhgs,"{'compound_code': 'RRGC+QW Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRGC+QW'}",0.0,ChIJmdfnadT1aS4RP4kcxpZyhgs,GOOGLE,"['university', 'point_of_interest', 'establishment']",0,"Jl. Medan Merdeka Barat No.5b, RT.2/RW.3, Gambir, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.1689932, 'lng': 106.8183857}, 'viewport': {'northeast': {'lat': -6.167575020107279, 'lng': 106.8197072298927}, 'southwest': {'lat': -6.170274679892723, 'lng': 106.8170075701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Bentara Campus,ChIJO9LguvP3aS4R23FtUA2gjac,"{'compound_code': 'RRJ9+C9 North Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRJ9+C9'}",5.0,ChIJO9LguvP3aS4R23FtUA2gjac,GOOGLE,"['university', 'point_of_interest', 'establishment']",35,"Gedung E-Building, Komplek Harmoni Plaza Blok I No. 1-4, Jl. Petojo Binatu II No.2, RT.2/RW.7, Petojo Utara, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.1696083, 'lng': 106.8044038}, 'viewport': {'northeast': {'lat': -6.168326270107277, 'lng': 106.8058052798927}, 'southwest': {'lat': -6.17102592989272, 'lng': 106.8031056201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Universitas Budi Luhur Kampus Unit Roxy Mas,ChIJS5zw42T2aS4RmYDxvDbBYiI,"{'compound_code': 'RRJ3+5Q Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRJ3+5Q'}",4.8,ChIJS5zw42T2aS4RmYDxvDbBYiI,GOOGLE,"['university', 'point_of_interest', 'establishment']",118,"Pusat Niaga Roxy Mas, Jl. KH. Hasyim Ashari No.38-40, RT.11/RW.8, Cideng, Kota Jakarta Pusat",{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111775911506364672647"">Dedi Setiadi</a>'], 'photo_reference': 'AZose0koYEi970O5CaN7Jxbu4sPTL2t_Q644XlkiY159Wm2Esdf9rKbPhnXTUHBZO9-tU7PNLqkoObCghrBbtMXl5pruNfDQBiKtkNDjA6P1MTRPdcyvfvxv4ZRgJmogrFiZ6OAvuzYACRsiw8-M6nDA7pn4qnsdxk31O86YmDqVtbLPLj3k', 'width': 1920}]",
OPERATIONAL,"{'location': {'lat': -6.17355, 'lng': 106.807397}, 'viewport': {'northeast': {'lat': -6.172116820107278, 'lng': 106.8086913798927}, 'southwest': {'lat': -6.174816479892722, 'lng': 106.8059917201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Universitas INABA Kampus Jakarta,ChIJixX3tVb3aS4RtAFdozWxadc,"{'compound_code': 'RRG4+HX Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRG4+HX'}",5.0,ChIJixX3tVb3aS4RtAFdozWxadc,GOOGLE,"['university', 'point_of_interest', 'establishment']",1,"Jl. Siantar No.6, RW.3, Cideng, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.164844, 'lng': 106.811528}, 'viewport': {'northeast': {'lat': -6.163490070107278, 'lng': 106.8128774798927}, 'southwest': {'lat': -6.166189729892722, 'lng': 106.8101778201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Akademi Manajemen Keuangan YP IPPI,ChIJEwzu0XD2aS4R309_XpJgT2M,"{'compound_code': 'RRP6+3J North Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRP6+3J'}",5.0,ChIJEwzu0XD2aS4R309_XpJgT2M,GOOGLE,"['university', 'point_of_interest', 'establishment']",1,"JL Petojo Brt III 2, Jakarta, 10130, RT.1/RW.4, North Petojo, Central Jakarta City",,,
