,Kelurahan,Kecamatan,Nama Starbucks,Alamat
0,Gambir,GAMBIR,Yayan,"Alamat: RR9H+Q9R, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta "
1,Cideng,GAMBIR,Universitas Budi Luhur Kampus Unit Roxy Mas,"Alamat: Pusat Niaga Roxy Mas, Jl. KH. Hasyim Ashari No.38-40, RT.11/RW.8, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150 "
2,Cideng,GAMBIR,Universitas INABA Kampus Jakarta,"Alamat: Jl. Siantar No.6, RW.3, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150 "
3,Cideng,GAMBIR,STIH PROF GAYUS LUMBUUN,"Alamat: Jl. Talaud Jl. Biak No.1A, RT.10/RW.4, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150 "
4,Cideng,GAMBIR,Fakultas Ilmu Keperawatan roxy.,"Alamat: Asy'ari, Jl. KH. Hasyim Ashari No.8, RW.8, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150 "
5,Cideng,GAMBIR,UTIRA-IBEK,"Alamat: Jl. Mandala Utara No.4, RT.4/RW.7, Cideng, Kecamatan Gambir, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
6,Petojo Utara,GAMBIR,Akademi Manajemen Keuangan YP IPPI,"Alamat: Jl. Petojo Bar. III No.2, RT.11/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140 "
7,Petojo Utara,GAMBIR,Akademi Akuntansi Bentara Indonesia,"Alamat: Jl. Pembangunan I No.22, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
8,Petojo Utara,GAMBIR,Saint Mary's College,"Alamat: Jl. KH. Hasyim Ashari No.54, RT.17/RW.5, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
9,Petojo Utara,GAMBIR,Politeknik Bentara Citra Bangsa,"Alamat: Gedung E-Building, Komplek Harmoni Plaza Blok I No. 1-4, Jl. Petojo Binatu II No.2, RT.2/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130 "
