,Kelurahan,Kecamatan,Nama Starbucks,Alamat
0,Balecatur,GAMPING,Universitas Rapu,"Alamat: 58Q3+H65, Gejawan Kulon, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
1,Balecatur,GAMPING,POSKO KKN UNY JITENGAN,"Alamat: 57JR+96P, Gn. Salam, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
2,Balecatur,GAMPING,Sekolah Tinggi Pendidikan Islam Bina Insan Mulia,"Alamat: JL. Wates Km. 9, 5, Plawonan, Argomulyo, Sedayu, Bantul Yogyakarta, Ngemplak, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55295 "
3,Balecatur,GAMPING,ASMI Desanta Jatisawit,"Alamat: 57PR+VXV, Perengdawe, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55295 "
4,Ambarketawang,GAMPING,sekolah tinggi pertanahan nasional,"Alamat: JL Nasional 3, No. A/4, Ketawang, Gamping, Komplek Ambar Ketawang Permai Bl, Patukan, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
5,Ambarketawang,GAMPING,Kampus,"Alamat: Jl. Brawijaya No.113, RT.003/RW.0016, Gamping Kidul, Ambarketawang, Gamping Kidul, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
6,Ambarketawang,GAMPING,Fakultas Kesehatan Unjaya,"Alamat: 58WF+593, Gamping Kidul, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
7,Ambarketawang,GAMPING,Universitas Jenderal Achmad Yani Yogyakarta (UNJAYA),"Alamat: Jl. Brawijaya Jl. Ringroad Barat, Gamping Kidul, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
8,Ambarketawang,GAMPING,Universitas Bina Sarana Informatika Kampus Yogyakarta (UBSI Yogyakarta),"Alamat: Jl. Ringroad Barat, Gamping Kidul, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55184 "
9,Ambarketawang,GAMPING,Perpustakaan Universitas Jenderal AchmadYani Yogyakarta ꧋ꦥꦼꦂꦥꦸꦱ꧀ꦠꦏꦄꦤ꧀ꦱ꧀ꦠꦶꦏꦺꦱ꧀,"Alamat: Kampus 2, Fakultas Kesehatan Universitas Jenderal Achmad Yani Yogyakarta, Jl. Brawijaya Jl. Ringroad Barat, Gamping Kidul, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
10,Ambarketawang,GAMPING,DJANCOK University,"Alamat: 58V7+X97, Jl. Kresna, Bodeh, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
11,Ambarketawang,GAMPING,Alvin residence,"Alamat: 683F+G23, Patukan, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
12,Ambarketawang,GAMPING,Ndalem Pangeran Andayaningrat,"Alamat: 58V5+4P3, Jalan Pangeran Andayaningrat, Depok, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
13,Ambarketawang,GAMPING,CTR Homeschooling,"Alamat: 58WH+CRQ, Gamping Kidul, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294 "
14,Banyuraden,GAMPING,UNU Yogyakarta Kampus Dowangan Banyuraden,"Alamat: 686J+R52, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
15,Banyuraden,GAMPING,Universitas Jenderal Achmad Yani Yogyakarta,"Alamat: Jl. Siliwangi, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
16,Banyuraden,GAMPING,Ruang Ormawa Fakultas Teknik dan Teknologi Informasi UNJAYA,"Alamat: 684H+QWH, Jl. Siliwangi Jl. Ringroad Barat, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
17,Banyuraden,GAMPING,Fakultas Kesehatan,"Alamat: 688Q+5C5, JL Tatabumi, Gamping, Area Sawah, Banyuraden, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
18,Banyuraden,GAMPING,STIE Sekolah Tinggi Ilmu Ekonomi Yayasan Karya Pendidikan,"Alamat: Jl. Ngapak - Kentheng No.Km. 2, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
19,Banyuraden,GAMPING,Aula Sekolah Tinggi Pertanahan Nasional,"Alamat: Jl. Gading Sari II No.16, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
20,Banyuraden,GAMPING,Program Studi Sistem Informasi Unjaya,"Alamat: Jl. Siliwangi No.0, RW.7, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
21,Banyuraden,GAMPING,Kos meli,"Alamat: 684M+9CP, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
22,Banyuraden,GAMPING,Ruma kia,"Alamat: Jl. Perumahan, Jl. Tata Bumi Permai No.C 11, Area Sawah, Banyuraden, Gamping, Sleman Regency, Special Region of Yogyakarta 55293 "
23,Banyuraden,GAMPING,Gerbang Tengah STPN,"Alamat: Jl. Tata Bumi No.15, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
24,Banyuraden,GAMPING,Stpn Koperasi,"Alamat: Area Sawah, Jl. Tata Bumi No.5, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
25,Banyuraden,GAMPING,Sekolah Tinggi Pertanahan Nasional,"Alamat: Jl. Tata Bumi No.5, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
26,Banyuraden,GAMPING,Fakultas Ekonomi dan Sosial Unjaya,"Alamat: 684J+MCH, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
27,Banyuraden,GAMPING,Kekandhangan,"Alamat: Jl. Cokrowijayan, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
28,Banyuraden,GAMPING,Asrama Taruna Bhumi Blok 3A,"Alamat: 688V+96P, Sekolah Tinggi Pertahanan Nasional, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
29,Banyuraden,GAMPING,Almiftah island,"Alamat: 688V+96P, Sekolah Tinggi Pertahanan Nasional, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
30,Nogotirto,GAMPING,Universitas 'Aisyiyah Yogyakarta,"Alamat: Mlangi Nogotirto, Jl. Siliwangi Jl. Ringroad Barat No.63, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
31,Nogotirto,GAMPING,Universitas 'Aisyiyah Yogyakarta_Area B,"Alamat: 68MM+H94, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
32,Nogotirto,GAMPING,kampus,"Alamat: Jl. Siliwangi Jl. Ringroad Barat No.63, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
33,Nogotirto,GAMPING,Rusunawa Universitas Aisyiyah Yogyakarta,"Alamat: 68PM+56P, Cambahan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
34,Nogotirto,GAMPING,Bulek supiyah,"Alamat: Jl. Kyai Sri Pujo No.28, Cambahan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
35,Nogotirto,GAMPING,Asrama Mahasiswa UNISA,"Alamat: 68MM+XXC, Jl. Ringroad Barat, Mlangi, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
