business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,plus_code,permanently_closed
OPERATIONAL,"{'location': {'lat': -5.7352496, 'lng': 106.6007646}, 'viewport': {'northeast': {'lat': -5.733895620107277, 'lng': 106.6022069798927}, 'southwest': {'lat': -5.736595279892721, 'lng': 106.5995073201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Karya Beach,ChIJXTCCB_13ai4RNtnRBPWtxsc,5.0,ChIJXTCCB_13ai4RNtnRBPWtxsc,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"7J72+W82 Pulau Karya, Pulau Panggang, Kab. Administrasi Kepulauan Seribu",,,,
OPERATIONAL,"{'location': {'lat': -5.652356699999999, 'lng': 106.5723613}, 'viewport': {'northeast': {'lat': -5.650991520107278, 'lng': 106.5738007298927}, 'southwest': {'lat': -5.653691179892721, 'lng': 106.5711010701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,coconut island tours,ChIJpRPwzWzzaS4RZYn7Iog4p78,4.6,ChIJpRPwzWzzaS4RZYn7Iog4p78,GOOGLE,"['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",118,"RT.02/RW.01, Kelapa Island, Kepulauan Seribu Regency",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107171028471336505525"">SholahGJ Firdaus</a>'], 'photo_reference': 'AZose0mINmUjiLg5Z8uQZzwWVX9FuxUmjo9URYw7UIz8A2R3kWPlClGAYcsb55WM5Kq4CtRT7aUAM9VvY3kM7qZscnNUn9ZyHBmQnlwa_Sopocobk6sjeMtf1gcUDtinUWHEkYGcM3X8UWeT-u0VgOUi51atg0UbAiVDKpoArFOFvA8988nZ', 'width': 4032}]","{'compound_code': '8HXC+3W Kelapa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P688HXC+3W'}",
OPERATIONAL,"{'location': {'lat': -5.6618986, 'lng': 106.5670311}, 'viewport': {'northeast': {'lat': -5.660548770107279, 'lng': 106.5683809298927}, 'southwest': {'lat': -5.663248429892723, 'lng': 106.5656812701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Kaliage,ChIJpxHx4I53ai4RAGpX5lPsuXs,4.5,ChIJpxHx4I53ai4RAGpX5lPsuXs,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",111,"8HQ8+6RR, Klp.,, Pulau Klp., Kab. Administrasi Kepulauan Seribu",{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108529754861510975996"">Ririn Ambar</a>'], 'photo_reference': 'AZose0lGKBEYsmcYHorj7Rb1Zfxy6Vn4gDUiBLOyC0I8odBQgq1YSag_0i8FznY-IxX7bgw_l5ohW6en55WG26f0K3Z4aepEmW3Bhz0demdolqs5avMFh5099NjjFMzbTL8y5SPxlu-rIJBgTtsF9GaorQwrwLCtFNAnHEEeglIkLM5PkhKK', 'width': 5184}]",,
OPERATIONAL,"{'location': {'lat': -5.6542511, 'lng': 106.5736505}, 'viewport': {'northeast': {'lat': -5.652888420107278, 'lng': 106.5751188798927}, 'southwest': {'lat': -5.655588079892722, 'lng': 106.5724192201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambunan Senja,ChIJfRhORfJ5ai4RavfQzD-NGiA,5.0,ChIJfRhORfJ5ai4RavfQzD-NGiA,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"8HWF+7FR, Jl. Kec., Pulau Klp., Kab. Administrasi Kepulauan Seribu",,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109958212372580558122"">A Google User</a>'], 'photo_reference': 'AZose0lTZSO6DDz2J3KHgJXJgeluvLveKcsRxEwWWFIQU6kj_v0Nhz9nQ8djJVG9rjQduorgSpJJ8NDwwjfk8jyE8xNcsqSLXFNSUBSIAQlmL_6F81WeRcD3tg0iw9vFXjtZkXQXR7bBMD_qyiCXSIAHFkbZLusQAkIQD3Cvk6ID7XbGAcx2', 'width': 1600}]",,
OPERATIONAL,"{'location': {'lat': -5.650178299999999, 'lng': 106.5684359}, 'viewport': {'northeast': {'lat': -5.64875075, 'lng': 106.5694157798927}, 'southwest': {'lat': -5.654460950000001, 'lng': 106.5667161201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga barat,ChIJEd1Ujk15ai4R_tA2WsKDiFA,4.5,ChIJEd1Ujk15ai4R_tA2WsKDiFA,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"9H29+532, Kelapa Island, Kepulauan Seribu Regency",,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102883902715442203749"">Ferby Santo</a>'], 'photo_reference': 'AZose0kLql1sNJJS9dPAPXy2s5ai4CgAISIaGR_VfQPbL2oMfpBkktKPT0kdll-4c_sZGTbCa6-sFSJqylh-qWzZqG2EhE2k6e8CKgptnNl5MHfH4cpmPFV22Kwf_7fcAxPd4CdFhe-O7dqxe70xBS0VRrboXrPvPrN5eMgUusBjobRbGuvs', 'width': 864}]",,
OPERATIONAL,"{'location': {'lat': -5.653548499999999, 'lng': 106.5769755}, 'viewport': {'northeast': {'lat': -5.652204970107278, 'lng': 106.5783215298927}, 'southwest': {'lat': -5.654904629892722, 'lng': 106.5756218701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,WISATA KEPULAUAN SERIBU (Rey_donat),ChIJcwxaRSp4ai4RffRke0ilyVo,4.6,ChIJcwxaRSp4ai4RffRke0ilyVo,GOOGLE,"['lodging', 'tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",2359,"Harapan Island, Jakarta",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114649120882207358321"">A Google User</a>'], 'photo_reference': 'AZose0lCv1njBboJrVCShVvayZeTWpHBIy7vDFPPJJSeXXGMuRM2jqIiQN7l2PEejc6BtiAhxO8KC41xTGw-A2lsmnqhp7Xaqz25DcnavG1dUq_YM_t-QjD5x4i5plvjpWVgQDmsJidPMpC3MtRvkCIvh5oqarhMf_pcPLyWJmtUl3HD2wjX', 'width': 4032}]","{'compound_code': '8HWG+HQ Harapan Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P688HWG+HQ'}",
OPERATIONAL,"{'location': {'lat': -5.9781737, 'lng': 106.7051285}, 'viewport': {'northeast': {'lat': -5.976787670107278, 'lng': 106.7064997298927}, 'southwest': {'lat': -5.979487329892722, 'lng': 106.7038000701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Untung Jawa Tour,ChIJ_Qo3CZ8Fai4RgF_e_07COrI,4.8,ChIJ_Qo3CZ8Fai4RgF_e_07COrI,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",136,"Jl. Dermaga Barat, Pulau Untung Jawa, Kab. Administrasi Kepulauan Seribu",{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103242642601667271622"">wahyudin sastrawiguna</a>'], 'photo_reference': 'AZose0m9fR6p7dB0Df8LmzLt8MffO38wdvcZ6v7psqj63VaNu_dexHhbYlbc4iPQx-F5OhcoYEc4alANdvhoY8fjefcI3lCaDgDROUzmSStHr23NeoQdSHFT0C4DQsRxxjFGz_ZnX0bb1OMA8laneVyYLblYK_LeKMXiOA-TmsiMyIVDr2Ba', 'width': 4624}]","{'compound_code': '2PC4+P3 Untungjawa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P682PC4+P3'}",
OPERATIONAL,"{'location': {'lat': -5.9772538, 'lng': 106.7106358}, 'viewport': {'northeast': {'lat': -5.975899620107278, 'lng': 106.7119428298927}, 'southwest': {'lat': -5.978599279892722, 'lng': 106.7092431701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sakura Beach,ChIJodci3gUFai4RcHOVNJC089E,5.0,ChIJodci3gUFai4RcHOVNJC089E,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"2PF6+37R, Pantai Sakura P Untung Jawa, Pulau Untung Jawa, Kab. Administrasi Kepulauan Seribu",,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105238300939723497467"">Yahya ZulkarnaeN</a>'], 'photo_reference': 'AZose0mkVJI5IaS9G41jZY9E8HNbtG4pZhKbKK0aDpdMnwgpB3CYskcS2KIKme3SjCHK9Y2CeKlD3X8DglBeHf5O5S9rU7rWNMLz-YH40PNhh_hpGBNxTH217URN-o_uccbuuD8nrRtLkmO-_gS2t4V74Zh4_WDe2JBf-nu_nfr2ol_Bv5M', 'width': 3024}]",,
OPERATIONAL,"{'location': {'lat': -5.974768699999999, 'lng': 106.7092636}, 'viewport': {'northeast': {'lat': -5.973418870107277, 'lng': 106.7106134298927}, 'southwest': {'lat': -5.97611852989272, 'lng': 106.7079137701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Terumbu Karang,ChIJz3SKzaYbai4RmQOE_SUxGTc,5.0,ChIJz3SKzaYbai4RmQOE_SUxGTc,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"Untungjawa Island, Kepulauan Seribu Regency",,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108611456416471001757"">Aditya Jusendra</a>'], 'photo_reference': 'AZose0mih8NJeS8oEoVpqgIhZG55sjiUoS7VpdTKdhvxS-NyvV6NQVF3rCoWyevezbT9S6QsZ6Krj8sI27rC6LZNhj1Jqe0B_QnYdKYW5eV-CHtCja7CkP16IaaMr-NazPMZDYOFQiE-stXp8ctupb4b2SLjCRoaXJwsK8b6hMSlELHGntM7', 'width': 1920}]","{'compound_code': '2PG5+3P Untungjawa Island, Kepulauan Seribu Regency, Jakarta', 'global_code': '6P682PG5+3P'}",
OPERATIONAL,"{'location': {'lat': -5.9754686, 'lng': 106.7042942}, 'viewport': {'northeast': {'lat': -5.974528670107278, 'lng': 106.7060310298927}, 'southwest': {'lat': -5.977228329892722, 'lng': 106.7033313701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Laguna Mangrouve,ChIJ39b2xeoPai4RBd5PQMoLBG8,4.8,ChIJ39b2xeoPai4RBd5PQMoLBG8,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"2PF3+HF6, Untungjawa Island, Kepulauan Seribu Regency",,"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100594322455581005215"">A Google User</a>'], 'photo_reference': 'AZose0lh5_HhDT0BRHPAjc5l_mBskOAUzJpjb8ZgAsqIXu-6NN16FdZDFR32-KL52BeboMsehAr1LUbN0BVjoI7Bc2UHpq5R-ijiSwZz0rzPlSx8n_yu8asLpS9uT1nr5rR6s2gWM5j_1oL4Ecq2xeGgC1_Ohx5tU9lMYFTzgTdNfmN-elcx', 'width': 3264}]",,
