,Kelurahan,Kecamatan,Nama,Alamat
0,"Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu",KEP. SERIBU UTARA,Karya Beach,"Alamat: 7J72+W82 Pulau Karya, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
1,"Pulau Panggang, Kepulauan Seribu Utara, Kepulauan Seribu",KEP. SERIBU UTARA,Panggang island,"Alamat: 7J37+HQP, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
2,Pulau Klp.,KEP. SERIBU UTARA,Wisata Pulau Kelapa,"Alamat: RT.02/RW.01, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 13410 "
3,Pulau Klp.,KEP. SERIBU UTARA,Pulau Kaliage,"Alamat: 8HQ8+6RR, Klp.,, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530 "
4,Pulau Klp.,KEP. SERIBU UTARA,Pulau Harapan Trip,"Alamat: Pulau Kelapa Dua Kec. Pulau Kelapa Kab. ADM. Kepulauan Seribu Utara, Pulau Kelapa, Jakarta Utara, Pulau Kelapa, Kepulauan Seribu Utara Pulau Kelapa Kepulauan Seribu Utara, Pulau Kelapa, Kepulauan Seribu Utara, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540 "
5,PULAU HARAPAN,KEP. SERIBU UTARA,Wisata Pulau Harapan,"Alamat: RT.05/RW.02, Pulau Harapan, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540 "
6,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Untung Jawa Tour,"Alamat: Jl. Dermaga Barat, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14510 "
7,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pulau Kelor,"Alamat: XPFW+P59, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
8,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pulau Rambut Preserve,"Alamat: 2MCV+X5X, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
9,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Museum Pulau Onrust,"Alamat: Onrust/Kapal), Pulau, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
10,PULAU UNTUNG JAWA,KEP. SERIBU SELATAN,Pulau Cipir,"Alamat: XP6P+679, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta "
