,nama_kabupaten,nama_kelurahan,kepadatan_(jiwa/km2),nama_kecamatan,luas_wilayah_(km2),lat,lng
0,KAB.ADM.KEP.SERIBU,PULAU PANGGANG,10278.58,KEP. SERIBU UTARA,0.62,-5.738747399999999,106.6003962
1,KAB.ADM.KEP.SERIBU,PULAU KELAPA,2539.95,KEP. SERIBU UTARA,2.58,-5.6763037,106.5039072
2,KAB.ADM.KEP.SERIBU,PULAU HARAPAN,962.32,KEP. SERIBU UTARA,2.45,-5.6547999,106.5679828
3,KAB.ADM.KEP.SERIBU,PULAU UNTUNG JAWA,2191.54,KEP. SERIBU SELATAN,1.03,-5.9775015,106.7072474
4,KAB.ADM.KEP.SERIBU,PULAU TIDUNG,4714.69,KEP. SERIBU SELATAN,1.07,-5.803205300000001,106.5237907
5,KAB.ADM.KEP.SERIBU,PULAU PARI,3106.69,KEP. SERIBU SELATAN,0.95,-5.9074328,106.5863989
6,JAKARTA PUSAT,GAMBIR,1272.65,GAMBIR,2.58,-6.1789046,106.8266873
7,JAKARTA PUSAT,CIDENG,15108.4,GAMBIR,1.26,-6.1705904,106.8075136
8,JAKARTA PUSAT,PETOJO UTARA,19309.73,GAMBIR,1.12,-6.163971600000001,106.8148879
9,JAKARTA PUSAT,PETOJO SELATAN,15389.96,GAMBIR,1.14,-6.1754096,106.8163628
10,JAKARTA PUSAT,KEBON KELAPA,16434.06,GAMBIR,0.78,-6.1649144,106.8252123
11,JAKARTA PUSAT,DURI PULO,35207.18,GAMBIR,0.71,-6.163123499999999,106.8016144
12,JAKARTA PUSAT,PASAR BARU,8314.37,SAWAH BESAR,1.89,-6.1671806,106.8340622
13,JAKARTA PUSAT,KARANG ANYAR,64608.61,SAWAH BESAR,0.51,-6.153950399999999,106.8288997
14,JAKARTA PUSAT,KARTINI,49492.96,SAWAH BESAR,0.57,-6.152532,106.8333247
15,JAKARTA PUSAT,GUNUNG SAHARI UTARA,10627.41,SAWAH BESAR,1.9,-6.149223999999999,106.8370122
16,JAKARTA PUSAT,MANGGA DUA SELATAN,27071.81,SAWAH BESAR,1.29,-6.1418556,106.8281623
17,JAKARTA PUSAT,KEMAYORAN,48241.67,KEMAYORAN,0.53,-6.1642473,106.8458626
18,JAKARTA PUSAT,KEBON KOSONG,29790.96,KEMAYORAN,1.16,-6.1563067,106.8547133
19,JAKARTA PUSAT,HARAPAN MULIA,52366.7,KEMAYORAN,0.53,-6.1716166,106.8547133
20,JAKARTA PUSAT,SERDANG,44129.88,KEMAYORAN,0.82,-6.158667299999999,106.8606139
21,JAKARTA PUSAT,GUNUNG SAHARI SELATAN,15573.48,KEMAYORAN,1.53,-6.1579159,106.8443875
22,JAKARTA PUSAT,CEMPAKA BARU,40022.15,KEMAYORAN,0.99,-6.1687781,106.8635643
23,JAKARTA PUSAT,SUMUR BATU,23989.56,KEMAYORAN,1.15,-6.163388299999999,106.8724156
24,JAKARTA PUSAT,UTAN PANJANG,66123.09,KEMAYORAN,0.54,-6.1658988,106.8539757
25,JAKARTA PUSAT,SENEN,10733.0,SENEN,0.81,-6.1771986,106.8399623
26,JAKARTA PUSAT,KENARI,11898.36,SENEN,0.92,-6.1929378,106.8466001
27,JAKARTA PUSAT,PASEBAN,39392.24,SENEN,0.71,-6.192131799999999,106.851763
28,JAKARTA PUSAT,KRAMAT,48625.65,SENEN,0.71,-6.184002899999999,106.8466001
29,JAKARTA PUSAT,KWITANG,41673.38,SENEN,0.45,-6.1829179,106.8406998
30,JAKARTA PUSAT,BUNGUR,35774.27,SENEN,0.63,-6.171807599999999,106.8488128
31,JAKARTA PUSAT,CEMPAKA PUTIH TIMUR,12744.83,CEMPAKA PUTIH,2.23,-6.1761468,106.8724156
32,JAKARTA PUSAT,CEMPAKA PUTIH BARAT,33858.21,CEMPAKA PUTIH,1.22,-6.1815383,106.8635643
33,JAKARTA PUSAT,RAWASARI,20451.3,CEMPAKA PUTIH,1.25,-6.1890998,106.8665147
34,JAKARTA PUSAT,MENTENG,12478.27,MENTENG,2.44,-6.199137599999999,106.8325872
35,JAKARTA PUSAT,PEGANGSAAN,28333.84,MENTENG,0.98,-6.2024403,106.8488128
36,JAKARTA PUSAT,CIKINI,12059.93,MENTENG,0.82,-6.192514999999999,106.8399623
37,JAKARTA PUSAT,GONDANGDIA,3373.34,MENTENG,1.46,-6.192897899999999,106.8281623
38,JAKARTA PUSAT,KEBON SIRIH,18732.61,MENTENG,0.83,-6.1851432,106.8311122
39,JAKARTA PUSAT,GELORA,1450.62,TANAH ABANG,2.59,-6.2154197,106.8030892
40,JAKARTA PUSAT,BENDUNGAN HILIR,16121.65,TANAH ABANG,1.58,-6.2088902,106.8075136
41,JAKARTA PUSAT,KARET TENGSIN,14801.54,TANAH ABANG,1.53,-6.2048197,106.8148879
42,JAKARTA PUSAT,PETAMBURAN,44657.05,TANAH ABANG,0.9,-6.1961208,106.8075136
43,JAKARTA PUSAT,KEBON MELATI,30582.66,TANAH ABANG,1.26,-6.1983875,106.8163628
44,JAKARTA PUSAT,KEBON KACANG,36577.46,TANAH ABANG,0.71,-6.1907272,106.8163628
45,JAKARTA PUSAT,KAMPUNG BALI,19675.75,TANAH ABANG,0.73,-6.1856209,106.8163628
46,JAKARTA PUSAT,JOHAR BARU,37197.31,JOHAR BARU,1.19,-6.186834699999999,106.8576636
47,JAKARTA PUSAT,KAMPUNG RAWA,86795.08,JOHAR BARU,0.3,-6.1798872,106.8554508
48,JAKARTA PUSAT,GALUR,84022.9,JOHAR BARU,0.26,-6.1760588,106.8554508
49,JAKARTA PUSAT,TANAH TINGGI,73374.54,JOHAR BARU,0.62,-6.179464299999999,106.8488128
50,JAKARTA UTARA,PENJARINGAN,29843.46,PENJARINGAN,3.95,-6.128630999999999,106.8030892
51,JAKARTA UTARA,KAMAL MUARA,1229.64,PENJARINGAN,10.53,-6.1127546,106.7411559
52,JAKARTA UTARA,KAPUK MUARA,3637.79,PENJARINGAN,10.06,-6.1222055,106.7647475
53,JAKARTA UTARA,PEJAGALAN,27306.76,PENJARINGAN,3.23,-6.1394027,106.7853922
54,JAKARTA UTARA,PLUIT,6396.61,PENJARINGAN,7.71,-6.113894200000001,106.7853922
55,JAKARTA UTARA,TANJUNG PRIOK,7533.03,TANJUNG PRIOK,5.54,-6.1095485,106.8812673
56,JAKARTA UTARA,SUNTER JAYA,15431.39,TANJUNG PRIOK,4.58,-6.1528676,106.8721885
57,JAKARTA UTARA,PAPANGGO,16386.9,TANJUNG PRIOK,2.8,-6.1265467,106.8679899
