nama_kecamatan,nama_kelurahan,luas_wilayah_(km2),kepadatan_(jiwa/km2)
GAMPING,BALECATUR,9.86,2003.45
GAMPING,AMBARKETAWANG,6.28,3145.54
GAMPING,BANYURADEN,4.25,4648.00
GAMPING,NOGOTIRTO,3.49,5660.17
GAMPING,TRIHANGGO,5.62,3514.95
GODEAN,SIDOREJO,5.28,3741.29
GODEAN,SIDOLUHUR,5.19,3806.17
GODEAN,SIDOMULYO,2.5,7901.60
GODEAN,SIDOAGUNG,3.32,5950.00
GODEAN,SIDOKARTO,3.64,5426.92
GODEAN,SIDOARUM,3.73,5295.98
GODEAN,SIDOMOYO,3.02,6541.06
MOYUDAN,SUMBERRAHAYU,6.31,3130.59
MOYUDAN,SUMBERSARI,5.46,3617.95
MOYUDAN,SUMBERAGUNG,8.2,2409.02
MOYUDAN,SUMBERARUM,7.65,2582.22
MINGGIR,SENDANGARUM,3.45,5725.80
MINGGIR,SENDANGMULYO,6.7,2948.36
MINGGIR,SENDANGAGUNG,6.56,3011.28
MINGGIR,SENDANGSARI,4.58,4313.10
MINGGIR,SENDANGREJO,5.98,3303.34
SEYEGAN,MARGOLUWIH,5,3950.80
SEYEGAN,MARGODADI,6.11,3233.06
SEYEGAN,MARGOKATON,5.15,3835.73
SEYEGAN,MARGOMULYO,5.19,3806.17
SEYEGAN,MARGOAGUNG,5.18,3813.51
MLATI,SINDUADI,7.37,2680.33
MLATI,SENDANGADI,5.36,3685.45
MLATI,TLOGOADI,4.82,4098.34
MLATI,TIRTOADI,4.97,3974.65
MLATI,SUMBERADI,6,3292.33
DEPOK,CATURTUNGGAL,11.057,1786.56
DEPOK,MAGUWOHARJO,15.01,1316.06
DEPOK,CONDONGCATUR,9.5,2079.37
BERBAH,SENDANGTIRTO,5.22,3784.29
BERBAH,TEGALTIRTO,5.73,3447.47
BERBAH,KALITIRTO,6.2,3186.13
BERBAH,JOGOTIRTO,5.84,3382.53
PRAMBANAN,SUMBERHARJO,9.17,2154.20
PRAMBANAN,WUKIRHARJO,4.01,4926.18
PRAMBANAN,GAYAMHARJO,6.55,3015.88
PRAMBANAN,SAMBIREJO,8.39,2354.47
PRAMBANAN,MADUREJO,7.83,2522.86
PRAMBANAN,BOKOHARJO,5.4,3658.15
KALASAN,PURWOMARTANI,12.05,1639.34
KALASAN,TIRTOMARTANI,7.54,2619.89
KALASAN,TAMANMARTANI,7.3,2706.03
KALASAN,SELOMARTANI,8.95,2207.15
NGEMPLAK,SINDUMARTANI,6.66,2966.07
NGEMPLAK,BIMOMARTANI,4.44,4449.10
NGEMPLAK,WIDODOMARTANI,6.02,3281.40
NGEMPLAK,WEDOMARTANI,12.44,1587.94
NGEMPLAK,UMBULMARTANI,6.15,3212.03
NGAGLIK,SARIHARJO,6.89,2867.05
NGAGLIK,MINOMARTANI,1.53,12911.11
NGAGLIK,SINDUHARJO,6.09,3243.68
NGAGLIK,SUKOHARJO,8.57,2305.02
NGAGLIK,SARDONOHARJO,9.38,2105.97
NGAGLIK,DONOHARJO,6.06,3259.74
SLEMAN,CATURHARJO,7.44,2655.11
SLEMAN,TRIHARJO,5.78,3417.65
SLEMAN,TRIDADI,5.04,3919.44
SLEMAN,PANDOWOHARJO,7.27,2717.19
SLEMAN,TRIMULYO,5.79,3411.74
TEMPEL,BANYUREJO,4.82,4098.34
TEMPEL,TAMBAKREJO,3.26,6059.51
TEMPEL,SUMBERREJO,2.92,6765.07
TEMPEL,PONDOKREJO,3.27,6040.98
TEMPEL,MOROREJO,3.37,5861.72
TEMPEL,MARGOREJO,5.39,3664.94
TEMPEL,LUMBUNGREJO,3.33,5932.13
TEMPEL,MERDIKOREJO,6.13,3222.51
TURI,BANGUNKERTO,7.03,2809.96
TURI,DONOKERTO,7.41,2665.86
TURI,GIRIKERTO,13.07,1511.40
TURI,WONOKERTO,15.58,1267.91
PAKEM,PURWOBINANGUN,13.48,1465.43
PAKEM,CANDIBINANGUN,6.36,3105.97
PAKEM,HARJOBINANGUN,5.52,3578.62
PAKEM,PAKEMBINANGUN,4.18,4725.84
PAKEM,HARGOBINANGUN,14.3,1381.40
CANGKRINGAN,ARGOMULYO,8.47,2332.23
CANGKRINGAN,WUKIRSARI,14.56,1356.73
CANGKRINGAN,GLAGAHARJO,7.95,2484.78
CANGKRINGAN,KEPUHARJO,8.75,2257.60
CANGKRINGAN,UMBULHARJO,8.26,2391.53
